Date,Open,High,Low,Close,Volume,Adj Close
2013-05-29,9.73,9.97,9.67,9.93,247100,9.93
2013-05-28,9.66,10.00,9.39,9.77,174900,9.77
2013-05-24,9.57,9.69,9.35,9.56,196200,9.56
2013-05-23,9.24,9.69,9.21,9.62,244800,9.62
2013-05-22,9.82,10.14,9.18,9.38,284300,9.38
2013-05-21,10.19,10.26,9.80,9.83,130300,9.83
2013-05-20,9.90,10.25,9.74,10.19,333800,10.19
2013-05-17,10.06,10.17,9.82,9.90,322200,9.90
2013-05-16,9.98,10.12,9.90,10.07,174600,10.07
2013-05-15,10.14,10.35,9.89,10.00,201000,10.00
2013-05-14,10.06,10.15,9.74,10.15,265700,10.15
2013-05-13,9.38,10.25,9.36,10.01,359400,10.01
2013-05-10,9.46,9.55,9.17,9.39,288300,9.39
2013-05-09,9.42,9.73,9.29,9.59,331700,9.59
2013-05-08,10.57,10.57,9.25,9.48,1003600,9.48
2013-05-07,10.90,11.00,10.36,10.56,290600,10.56
2013-05-06,10.50,10.93,10.50,10.85,209500,10.85
2013-05-03,10.75,11.04,10.46,10.52,331000,10.52
2013-05-02,10.75,10.75,10.35,10.54,243600,10.54
2013-05-01,11.20,11.28,10.50,10.71,452900,10.71
2013-04-30,11.70,11.81,11.20,11.25,346800,11.25
2013-04-29,11.09,11.74,10.77,11.73,350400,11.73
2013-04-26,11.20,11.29,10.82,10.99,557100,10.99
2013-04-25,11.75,11.85,11.19,11.26,381000,11.26
2013-04-24,11.93,11.99,11.60,11.65,318800,11.65
2013-04-23,12.37,12.70,11.80,12.00,713200,12.00
2013-04-22,11.28,11.98,11.14,11.87,957400,11.87
2013-04-19,10.50,10.75,10.28,10.70,168900,10.70
2013-04-18,10.60,10.66,10.27,10.44,221900,10.44
2013-04-17,11.10,11.10,10.36,10.62,358100,10.62
2013-04-16,10.76,11.37,10.76,11.23,342600,11.23
2013-04-15,11.34,11.57,10.51,10.69,406700,10.69
2013-04-12,11.24,11.41,10.82,11.36,356200,11.36
2013-04-11,10.07,11.31,10.07,11.25,745300,11.25
2013-04-10,10.00,10.39,9.96,10.12,1438800,10.12
2013-04-09,10.00,10.04,9.71,9.94,346100,9.94
2013-04-08,9.88,10.00,9.74,9.98,209100,9.98
2013-04-05,9.89,9.96,9.65,9.88,141800,9.88
2013-04-04,10.02,10.08,9.86,10.03,201200,10.03
2013-04-03,10.12,10.19,9.90,10.02,425200,10.02
2013-04-02,9.95,10.28,9.84,10.09,575800,10.09
2013-04-01,9.74,9.90,9.60,9.83,432200,9.83
2013-03-28,9.55,9.82,9.42,9.72,361400,9.72
2013-03-27,9.45,9.58,9.37,9.55,198400,9.55
2013-03-26,9.65,9.67,9.43,9.58,424700,9.58
2013-03-25,9.73,9.91,9.52,9.65,757800,9.65
2013-03-22,9.41,9.60,9.16,9.25,379600,9.25
2013-03-21,9.11,9.44,9.04,9.42,306900,9.42
2013-03-20,8.84,9.11,8.68,9.07,186600,9.07
2013-03-19,9.12,9.20,8.57,8.80,243800,8.80
2013-03-18,8.77,9.50,8.65,9.07,497500,9.07
2013-03-15,8.32,8.94,8.25,8.83,278200,8.83
2013-03-14,8.50,8.50,7.86,8.33,290300,8.33
2013-03-13,8.48,8.63,8.36,8.46,123900,8.46
2013-03-12,8.53,8.58,8.32,8.50,109000,8.50
2013-03-11,8.16,8.71,8.02,8.53,201700,8.53
2013-03-08,8.30,8.30,8.01,8.21,103900,8.21
2013-03-07,8.25,8.27,7.92,8.24,188100,8.24
2013-03-06,8.40,8.40,8.12,8.24,170800,8.24
2013-03-05,8.35,8.53,8.33,8.40,289400,8.40
2013-03-04,8.85,8.85,8.20,8.33,587700,8.33
2013-03-01,7.82,8.30,7.67,8.20,925400,8.20
2013-02-28,7.28,7.38,7.23,7.32,167600,7.32
2013-02-27,7.43,7.56,7.23,7.31,208600,7.31
2013-02-26,7.70,7.75,7.36,7.46,185200,7.46
2013-02-25,7.84,7.84,7.56,7.71,272100,7.71
2013-02-22,7.75,7.79,7.66,7.76,69300,7.76
2013-02-21,7.74,7.74,7.43,7.67,185300,7.67
2013-02-20,7.80,7.88,7.61,7.71,212200,7.71
2013-02-19,7.40,7.84,7.40,7.81,442800,7.81
2013-02-15,7.32,7.43,7.32,7.40,178800,7.40
2013-02-14,7.31,7.37,7.28,7.36,178300,7.36
2013-02-13,7.35,7.38,7.31,7.36,204400,7.36
2013-02-12,7.48,7.48,7.25,7.36,183500,7.36
2013-02-11,7.29,7.54,7.28,7.46,175500,7.46
2013-02-08,7.41,7.47,7.28,7.31,135700,7.31
2013-02-07,7.25,7.46,7.11,7.42,249100,7.42
2013-02-06,7.01,7.33,7.01,7.27,407500,7.27
