Date,Open,High,Low,Close,Volume,Adj Close
2013-05-29,23.71,24.24,23.70,24.12,37314000,24.12
2013-05-28,23.81,24.12,23.69,23.89,40023900,23.89
2013-05-24,23.39,23.66,23.31,23.53,25036200,23.53
2013-05-23,23.12,23.61,23.06,23.51,44376600,23.51
2013-05-22,24.00,24.02,23.25,23.34,46836300,23.34
2013-05-21,23.89,24.06,23.59,24.01,48135200,24.01
2013-05-20,23.90,23.97,23.64,23.95,54632000,23.95
2013-05-17,23.85,24.25,23.70,24.24,78569900,24.24
2013-05-16,23.51,24.24,23.36,23.89,201613300,23.89
2013-05-15,21.25,21.29,21.12,21.21,55137700,21.21
2013-05-14,21.21,21.42,21.15,21.27,38483600,21.27
2013-05-13,21.14,21.28,21.05,21.27,35336000,21.27
2013-05-10,20.83,21.10,20.82,21.10,26926900,21.10
2013-05-09,20.72,20.95,20.62,20.83,25790200,20.83
2013-05-08,20.40,20.76,20.40,20.72,37412500,20.72
2013-05-07,20.68,20.71,20.29,20.38,54600700,20.38
2013-05-06,20.87,20.92,20.74,20.81,31315900,20.81
2013-05-03,20.93,20.96,20.76,20.83,41962700,20.83
2013-05-02,20.47,20.75,20.44,20.73,54869800,20.73
2013-05-01,20.83,20.90,20.35,20.38,44773400,20.38
2013-04-30,20.99,21.25,20.80,20.92,37777300,20.92
2013-04-29,20.65,21.07,20.47,20.98,29476200,20.98
2013-04-26,20.61,20.71,20.51,20.67,33713500,20.67
2013-04-25,20.50,20.77,20.39,20.64,40488500,20.64
2013-04-24,20.47,20.53,20.26,20.39,55746000,20.39
2013-04-23,20.75,21.10,20.73,20.91,34844800,20.91
2013-04-22,20.53,20.65,20.27,20.59,31452800,20.59
2013-04-19,20.20,20.55,19.98,20.46,51142000,20.46
2013-04-18,20.74,20.85,20.45,20.58,35401400,20.58
2013-04-17,20.95,21.02,20.59,20.63,30873000,20.63
2013-04-16,21.15,21.17,20.95,21.16,32745100,21.16
2013-04-15,21.45,21.64,21.05,21.05,27961000,21.05
2013-04-12,21.67,21.70,21.12,21.54,31584600,21.54
2013-04-11,21.33,21.70,21.27,21.69,35992200,21.69
2013-04-10,21.07,21.60,21.02,21.47,39308100,21.47
2013-04-09,20.64,21.05,20.58,20.97,27529500,20.97
2013-04-08,20.69,20.73,20.47,20.57,22968600,20.57
2013-04-05,20.25,20.70,20.00,20.61,54767100,20.61
2013-04-04,21.01,21.09,20.96,21.04,25075100,21.04
2013-04-03,21.28,21.37,21.11,21.20,30101400,21.03
2013-04-02,20.96,21.29,20.90,21.22,34098100,21.05
2013-04-01,21.04,21.38,20.78,20.83,40009200,20.66
2013-03-28,20.84,20.94,20.77,20.90,28323200,20.73
2013-03-27,20.68,20.90,20.61,20.83,27760900,20.66
2013-03-26,20.94,20.96,20.69,20.85,27627800,20.68
2013-03-25,20.88,20.99,20.71,20.85,36429100,20.68
2013-03-22,20.93,21.07,20.69,20.75,39902900,20.58
2013-03-21,21.00,21.18,20.72,20.84,64437700,20.67
2013-03-20,21.63,21.74,21.58,21.67,24571600,21.50
2013-03-19,21.71,21.75,21.30,21.52,27264100,21.35
2013-03-18,21.74,21.95,21.61,21.67,30222300,21.50
2013-03-15,21.57,21.95,21.38,21.93,59804200,21.75
2013-03-14,21.70,21.86,21.45,21.59,40479600,21.42
2013-03-13,21.65,21.80,21.51,21.58,30188200,21.41
2013-03-12,21.76,21.84,21.54,21.70,25987300,21.53
2013-03-11,21.77,21.98,21.65,21.88,29120000,21.70
2013-03-08,21.84,21.97,21.77,21.83,23839100,21.65
2013-03-07,21.72,21.97,21.68,21.80,37379500,21.63
2013-03-06,21.30,21.79,21.24,21.72,45966600,21.55
2013-03-05,20.83,21.25,20.83,21.22,32829500,21.05
2013-03-04,20.74,20.78,20.58,20.74,22634600,20.57
2013-03-01,20.71,20.90,20.55,20.83,24174800,20.66
2013-02-28,20.89,21.05,20.74,20.86,30337500,20.69
2013-02-27,20.60,21.02,20.44,20.89,25190900,20.72
2013-02-26,20.54,20.78,20.50,20.61,34254700,20.44
2013-02-25,21.00,21.20,20.65,20.66,37391400,20.49
2013-02-22,20.81,20.93,20.72,20.90,20483300,20.73
2013-02-21,21.00,21.02,20.71,20.76,33007100,20.59
2013-02-20,21.49,21.67,21.07,21.11,47494700,20.94
