Date,Open,High,Low,Close,Volume,Adj Close
2013-05-29,14.73,15.09,14.30,15.04,69800,15.04
2013-05-28,14.87,15.14,14.74,14.74,85800,14.74
2013-05-24,14.56,14.84,14.32,14.77,40800,14.77
2013-05-23,13.84,14.71,13.75,14.66,112900,14.66
2013-05-22,14.60,15.00,13.84,14.00,142400,14.00
2013-05-21,14.96,15.10,14.30,14.54,114700,14.54
2013-05-20,15.08,15.39,14.82,14.86,80600,14.86
2013-05-17,15.28,15.32,14.98,15.20,93000,15.20
2013-05-16,15.28,15.49,15.05,15.29,65000,15.29
2013-05-15,15.13,15.28,15.00,15.27,109600,15.27
2013-05-14,14.98,15.29,14.92,15.10,134200,15.10
2013-05-13,14.89,15.14,14.73,15.01,63300,15.01
2013-05-10,14.56,14.92,14.45,14.85,65300,14.85
2013-05-09,15.50,16.00,13.50,14.63,563100,14.63
2013-05-08,14.96,15.21,14.76,15.21,281500,15.21
2013-05-07,14.68,15.01,14.62,14.89,69500,14.89
2013-05-06,14.69,15.16,14.56,14.73,72300,14.73
2013-05-03,15.24,15.45,14.78,14.81,174100,14.81
2013-05-02,15.38,15.38,14.94,15.08,78200,15.08
2013-05-01,15.56,15.71,14.87,15.08,104300,15.08
2013-04-30,15.07,15.56,14.96,15.55,94000,15.55
2013-04-29,15.21,15.41,14.86,15.20,281200,15.20
2013-04-26,15.00,15.10,14.82,15.08,67400,15.08
2013-04-25,14.25,15.00,14.20,15.00,138900,15.00
2013-04-24,15.32,15.36,13.98,14.13,252700,14.13
2013-04-23,14.99,15.21,14.94,15.16,159900,15.16
2013-04-22,15.42,15.42,14.88,14.92,205700,14.92
2013-04-19,14.11,14.73,14.09,14.71,143000,14.71
2013-04-18,14.34,14.47,14.14,14.23,87600,14.23
2013-04-17,14.36,14.48,14.06,14.37,93500,14.37
2013-04-16,14.06,14.48,13.88,14.47,224700,14.47
2013-04-15,14.05,14.10,13.50,13.62,186300,13.62
2013-04-12,13.82,14.09,13.64,13.98,81900,13.98
2013-04-11,14.10,14.18,13.68,13.83,121900,13.83
2013-04-10,13.89,14.18,13.75,14.05,167300,14.05
2013-04-09,13.70,14.04,13.61,13.90,160000,13.90
2013-04-08,13.70,13.73,13.09,13.63,162800,13.63
2013-04-05,13.37,13.68,13.26,13.62,139000,13.62
2013-04-04,13.64,13.82,13.31,13.68,128300,13.68
2013-04-03,14.11,14.20,13.42,13.69,260400,13.69
2013-04-02,13.21,14.10,13.21,13.94,421500,13.94
2013-04-01,13.00,13.45,12.91,13.30,260900,13.30
2013-03-28,12.47,13.03,12.39,12.92,230200,12.92
2013-03-27,12.14,12.49,12.03,12.39,85200,12.39
2013-03-26,12.02,12.41,11.94,12.18,147300,12.18
2013-03-25,12.12,12.16,11.82,12.02,137300,12.02
2013-03-22,12.23,12.25,11.90,12.04,86800,12.04
2013-03-21,11.40,12.15,11.28,12.02,894300,12.02
2013-03-20,11.86,11.86,11.25,11.48,128700,11.48
2013-03-19,12.25,12.25,11.87,12.08,66400,12.08
2013-03-18,11.73,12.24,11.50,12.19,115600,12.19
2013-03-15,11.88,12.13,11.40,11.98,204300,11.98
2013-03-14,12.28,12.55,12.17,12.39,359100,12.39
2013-03-13,11.86,12.50,11.40,12.16,670000,12.16
2013-03-12,11.08,11.35,11.00,11.05,122500,11.05
2013-03-11,10.89,11.15,10.79,11.04,97200,11.04
2013-03-08,10.78,11.00,10.70,10.91,27800,10.91
2013-03-07,10.85,11.00,10.59,10.72,46700,10.72
2013-03-06,10.79,11.03,10.53,10.89,37100,10.89
2013-03-05,10.37,10.87,10.37,10.71,31300,10.71
2013-03-04,10.41,10.59,10.22,10.47,92800,10.47
2013-03-01,10.06,10.45,10.04,10.31,78100,10.31
2013-02-28,10.49,10.50,10.34,10.43,85600,10.43
2013-02-27,10.44,10.82,10.31,10.50,121000,10.50
2013-02-26,10.45,10.45,10.15,10.18,62300,10.18
2013-02-25,10.54,10.83,10.40,10.44,42400,10.44
2013-02-22,10.58,10.68,10.38,10.52,38900,10.52
2013-02-21,10.65,10.94,10.46,10.53,51800,10.53
2013-02-20,10.96,11.04,10.60,10.87,231500,10.87
2013-02-19,10.70,11.01,10.59,10.91,90200,10.91
2013-02-15,10.55,10.75,10.55,10.64,47000,10.64
2013-02-14,10.79,10.79,10.53,10.55,41400,10.55
2013-02-13,10.75,11.01,10.59,10.76,70100,10.76
2013-02-12,10.45,10.88,10.37,10.64,73800,10.64
2013-02-11,10.72,10.72,10.35,10.42,100200,10.42
2013-02-08,10.53,10.70,10.35,10.58,29200,10.58
2013-02-07,10.63,10.78,10.41,10.43,62400,10.43
2013-02-06,10.91,10.91,10.50,10.58,135000,10.58
2013-02-05,10.78,11.09,10.76,11.02,60900,11.02
2013-02-04,10.97,11.30,10.71,10.86,91600,10.86
2013-02-01,10.79,11.12,10.71,11.09,96200,11.09
2013-01-31,10.60,10.94,10.50,10.76,128000,10.76
2013-01-30,11.21,11.33,10.60,10.64,167500,10.64
2013-01-29,11.42,11.50,10.75,11.11,138900,11.11
2013-01-28,11.36,11.46,11.36,11.40,107000,11.40
2013-01-25,11.19,11.32,11.14,11.32,83900,11.32
2013-01-24,11.11,11.22,10.94,11.18,71900,11.18
2013-01-23,11.27,11.45,11.15,11.18,74300,11.18
2013-01-22,11.19,11.45,11.05,11.32,61600,11.32
2013-01-18,11.23,11.45,11.12,11.14,79000,11.14
2013-01-17,11.00,11.44,10.75,11.17,179900,11.17
2013-01-16,11.34,11.56,11.07,11.19,152200,11.19
2013-01-15,11.30,11.50,11.16,11.40,565200,11.40
2013-01-14,10.86,11.35,10.84,11.14,317100,11.14
2013-01-11,10.16,10.86,10.13,10.83,376100,10.83
2013-01-10,9.78,10.15,9.76,10.11,315800,10.11
2013-01-09,9.06,9.75,8.86,9.72,227000,9.72
2013-01-08,9.02,9.34,8.92,9.00,41800,9.00
2013-01-07,9.40,9.40,8.87,9.01,84100,9.01
2013-01-04,9.47,9.66,9.17,9.23,107900,9.23
2013-01-03,9.45,9.54,9.37,9.47,56800,9.47
2013-01-02,9.25,9.57,9.25,9.48,129600,9.48
2012-12-31,8.66,9.17,8.51,9.00,143900,9.00
2012-12-28,8.92,8.93,8.60,8.71,59200,8.71
2012-12-27,9.47,9.50,8.67,8.77,227600,8.77
2012-12-26,9.94,10.00,9.43,9.45,69900,9.45
2012-12-24,9.91,10.10,9.79,9.95,147400,9.95
2012-12-21,9.86,10.13,9.74,9.86,276000,9.86
2012-12-20,9.17,9.89,9.01,9.85,263900,9.85
2012-12-19,9.46,9.83,9.20,9.22,110200,9.22
2012-12-18,9.36,9.50,9.14,9.44,157900,9.44
2012-12-17,9.45,9.83,9.29,9.39,121300,9.39
2012-12-14,9.74,9.97,9.10,9.44,237700,9.44
2012-12-13,9.75,9.90,9.70,9.83,131100,9.83
2012-12-12,9.55,9.77,9.25,9.75,114800,9.75
2012-12-11,9.39,9.79,9.11,9.42,119400,9.42
2012-12-10,9.46,9.71,9.25,9.41,85100,9.41
2012-12-07,9.74,9.76,9.25,9.50,83200,9.50
2012-12-06,9.72,9.90,9.53,9.74,89000,9.74
2012-12-05,9.83,10.00,9.66,9.67,77900,9.67
2012-12-04,9.93,10.00,9.64,9.72,89900,9.72
2012-12-03,10.14,10.24,9.85,9.93,251000,9.93
2012-11-30,9.45,10.08,9.37,9.90,2641800,9.90
2012-11-29,9.48,9.50,9.27,9.45,55500,9.45
2012-11-28,9.09,9.43,8.99,9.40,74000,9.40
2012-11-27,9.22,9.23,8.91,9.10,83300,9.10
2012-11-26,9.53,9.58,9.22,9.34,102700,9.34
2012-11-23,9.46,9.53,9.38,9.48,77400,9.48
2012-11-21,9.00,9.40,8.85,9.37,239800,9.37
2012-11-20,8.98,8.98,8.85,8.95,80000,8.95
2012-11-19,8.78,8.95,8.65,8.90,247500,8.90
2012-11-16,8.46,8.72,8.21,8.70,472400,8.70
2012-11-15,8.43,8.78,8.07,8.40,116000,8.40
2012-11-14,8.12,8.56,7.97,8.32,118600,8.32
