Date,Open,High,Low,Close,Volume,Adj Close
2013-05-29,49.06,49.15,48.38,48.85,2622100,48.85
2013-05-28,49.72,50.00,49.07,49.42,2592900,49.42
2013-05-24,48.59,49.34,48.36,49.21,2732600,49.21
2013-05-23,48.60,49.28,48.46,48.98,3017000,48.98
2013-05-22,49.43,49.93,48.72,49.00,4382100,49.00
2013-05-21,48.81,49.61,48.81,49.43,4511200,49.43
2013-05-20,48.38,49.09,48.26,48.85,4030800,48.85
2013-05-17,48.03,48.67,47.55,48.67,5834100,48.67
2013-05-16,48.41,48.67,47.59,47.88,4558200,47.88
2013-05-15,48.25,48.93,47.30,48.57,9460700,48.57
2013-05-14,47.00,47.67,46.92,47.39,4491000,47.39
2013-05-13,47.02,47.12,46.54,46.88,2687700,46.88
2013-05-10,46.62,47.23,46.58,47.23,2999300,47.23
2013-05-09,46.59,46.81,46.26,46.45,2676800,46.45
2013-05-08,46.54,47.12,46.26,46.64,3440600,46.64
2013-05-07,46.07,46.74,45.78,46.50,3191700,46.50
2013-05-06,46.01,46.28,45.80,46.00,2573800,46.00
2013-05-03,45.25,46.45,45.18,46.23,4073100,46.23
2013-05-02,44.65,44.96,44.49,44.78,2517700,44.78
2013-05-01,44.54,44.96,44.33,44.70,2781700,44.70
2013-04-30,44.92,45.09,44.27,44.60,3649300,44.60
2013-04-29,44.78,45.40,44.76,45.07,2574700,45.07
2013-04-26,44.71,44.92,44.40,44.63,2584600,44.63
2013-04-25,44.03,45.18,43.99,44.78,3948600,44.78
2013-04-24,44.05,44.42,43.66,43.89,2540000,43.89
2013-04-23,43.65,44.18,43.47,43.95,3282900,43.95
2013-04-22,43.59,43.82,43.11,43.54,2376600,43.54
2013-04-19,43.14,43.71,43.04,43.54,2642000,43.54
2013-04-18,43.59,43.59,42.85,42.94,3046600,42.94
2013-04-17,43.60,43.71,43.15,43.61,4381500,43.61
2013-04-16,43.91,44.02,43.64,43.93,2932000,43.93
2013-04-15,44.10,44.41,43.35,43.42,3492400,43.42
2013-04-12,44.20,45.39,44.19,44.43,6256800,44.43
2013-04-11,44.19,45.26,44.19,44.31,5699200,44.31
2013-04-10,43.94,44.95,43.85,44.36,4472500,44.36
2013-04-09,43.88,44.11,43.49,43.67,3450800,43.67
2013-04-08,43.35,44.24,43.33,43.99,5087900,43.99
2013-04-05,42.92,43.54,42.83,43.39,5080600,43.39
2013-04-04,42.38,43.88,42.32,43.56,6727700,43.56
2013-04-03,42.03,42.62,41.74,42.39,5805900,42.39
2013-04-02,41.89,42.17,41.77,42.03,2722000,42.03
2013-04-01,41.78,42.20,41.51,41.63,2696700,41.63
2013-03-28,41.68,41.94,41.33,41.84,5142500,41.84
2013-03-27,41.78,42.03,41.53,41.73,3144300,41.73
2013-03-26,42.40,42.45,41.44,41.99,4980000,41.99
2013-03-25,42.40,42.74,42.17,42.36,4182000,42.36
2013-03-22,42.34,42.74,42.32,42.66,3956500,42.66
2013-03-21,42.22,42.89,42.09,42.17,5903100,42.17
2013-03-20,41.70,42.78,41.70,42.55,6413500,42.55
2013-03-19,41.56,41.71,40.89,41.67,5775300,41.67
2013-03-18,41.27,41.77,41.26,41.58,3276000,41.58
2013-03-15,41.89,42.10,41.38,41.78,6106500,41.78
2013-03-14,42.28,42.35,41.72,42.15,4632600,42.15
2013-03-13,41.96,42.47,41.81,42.11,6586600,42.11
2013-03-12,41.50,42.22,41.50,41.97,4044200,41.77
2013-03-11,41.43,41.93,41.31,41.71,3091600,41.51
2013-03-08,41.36,41.75,41.12,41.67,2882300,41.47
2013-03-07,41.12,41.54,40.96,41.23,4119000,41.03
2013-03-06,41.36,41.67,41.06,41.08,6828200,40.88
2013-03-05,41.74,42.18,41.63,41.72,5802400,41.52
2013-03-04,40.71,41.82,40.71,41.54,5733600,41.34
2013-03-01,40.74,41.05,40.36,40.68,6094200,40.49
2013-02-28,40.48,41.57,40.27,41.10,6182800,40.90
2013-02-27,39.75,40.90,39.62,40.58,6174700,40.39
2013-02-26,40.15,40.30,38.83,39.59,10560400,39.40
2013-02-25,39.17,39.34,38.52,38.52,5917200,38.34
2013-02-22,39.32,39.67,38.88,39.08,3568600,38.89
2013-02-21,39.53,39.76,39.11,39.33,3747400,39.14
2013-02-20,40.33,40.41,39.45,39.51,4458100,39.32
2013-02-19,39.35,40.47,39.03,40.43,5812900,40.24
2013-02-15,39.53,39.79,38.73,39.12,8496500,38.93
2013-02-14,39.73,39.83,39.35,39.54,3923900,39.35
2013-02-13,40.29,40.49,39.80,39.96,2696400,39.77
2013-02-12,40.37,40.42,40.02,40.11,2498200,39.92
2013-02-11,39.63,40.37,39.48,40.24,3761100,40.05
2013-02-08,40.39,40.39,39.67,39.92,4122000,39.73
2013-02-07,40.51,41.15,39.58,40.27,7051100,40.08
2013-02-06,39.67,39.91,39.02,39.48,7777200,39.29
2013-02-05,39.45,40.27,39.15,39.85,7064300,39.66
2013-02-04,39.24,39.41,38.63,38.72,3550200,38.54
2013-02-01,39.96,39.96,39.40,39.51,4276800,39.32
2013-01-31,39.68,39.68,39.06,39.51,4715700,39.32
2013-01-30,39.95,39.95,39.42,39.54,5347200,39.35
2013-01-29,39.23,40.00,39.00,39.95,4039300,39.76
2013-01-28,39.13,39.55,38.68,39.39,4873500,39.20
2013-01-25,39.13,39.38,38.62,38.74,5191900,38.56
2013-01-24,38.31,39.06,38.31,39.00,5291300,38.81
2013-01-23,38.15,38.50,38.01,38.23,4760100,38.05
2013-01-22,38.36,38.38,37.80,38.18,4132300,38.00
2013-01-18,38.17,38.42,37.74,38.42,3245500,38.24
2013-01-17,38.61,38.88,38.05,38.07,4462300,37.89
2013-01-16,37.72,38.66,37.67,38.43,5061100,38.25
2013-01-15,36.95,38.04,36.89,37.91,5792100,37.73
2013-01-14,36.87,37.19,36.75,37.08,3067500,36.90
2013-01-11,37.38,37.38,36.75,36.89,5890400,36.71
2013-01-10,36.82,37.26,36.35,37.25,5433400,37.07
2013-01-09,36.68,37.22,36.61,36.69,6006100,36.52
2013-01-08,37.61,37.85,37.05,37.05,5173700,36.87
2013-01-07,37.93,38.07,37.36,37.65,4605600,37.47
2013-01-04,37.53,38.33,37.50,37.94,8317900,37.76
2013-01-03,38.19,38.85,37.29,37.47,12902900,37.29
2013-01-02,39.55,39.55,38.05,38.31,8234800,38.13
2012-12-31,37.20,39.12,37.17,39.02,7895600,38.83
2012-12-28,36.88,38.04,36.66,37.36,6389100,37.18
2012-12-27,36.93,37.36,36.38,37.08,4988300,36.90
2012-12-26,37.46,37.65,36.30,37.13,5664300,36.95
2012-12-24,37.41,37.79,37.28,37.52,1567000,37.34
2012-12-21,37.59,37.85,37.32,37.51,6604600,37.33
2012-12-20,37.30,38.30,37.15,37.91,6726700,37.73
2012-12-19,39.03,39.54,38.75,38.77,4557000,38.59
2012-12-18,38.75,39.29,38.44,39.11,3217900,38.92
2012-12-17,38.27,38.73,37.76,38.71,4959400,38.53
2012-12-14,38.20,38.63,38.03,38.07,4590400,37.89
2012-12-13,38.76,39.05,38.05,38.22,4710500,38.04
2012-12-12,38.93,39.23,38.29,38.86,4596900,38.67
2012-12-11,39.54,39.62,38.68,38.86,4885300,38.48
2012-12-10,39.32,39.72,39.08,39.35,4897100,38.96
2012-12-07,39.17,39.48,38.88,39.41,4526900,39.02
2012-12-06,38.87,39.16,38.61,38.92,5892300,38.54
2012-12-05,38.21,39.16,38.11,38.87,8368500,38.49
2012-12-04,38.05,38.36,37.93,38.27,4799900,37.89
2012-12-03,38.93,38.93,38.09,38.10,6328400,37.72
2012-11-30,38.68,38.90,38.02,38.70,10663700,38.32
2012-11-29,39.24,39.83,38.26,38.62,13763000,38.24
2012-11-28,39.54,40.42,39.47,40.36,5606900,39.96
2012-11-27,39.49,40.15,39.34,39.63,7452600,39.24
2012-11-26,41.00,41.09,39.65,39.86,7968100,39.47
2012-11-23,41.49,41.76,41.20,41.73,3132900,41.32
2012-11-21,40.85,41.23,40.70,41.01,3391600,40.60
2012-11-20,40.90,41.14,40.31,40.77,5336500,40.37
2012-11-19,40.41,40.93,40.32,40.93,4484100,40.53
2012-11-16,39.41,40.31,39.10,40.18,6764500,39.78
2012-11-15,39.00,39.81,38.75,39.34,4726700,38.95
2012-11-14,39.21,39.63,38.79,38.90,5134500,38.52
2012-11-13,38.57,39.77,38.30,39.08,6968900,38.69
2012-11-12,39.00,39.07,38.60,38.70,2730600,38.32
2012-11-09,38.81,39.16,38.57,38.93,5762400,38.55
2012-11-08,40.36,40.67,39.01,39.01,5792600,38.62
2012-11-07,40.92,41.98,40.45,40.45,7878000,40.05
2012-11-06,41.25,41.44,40.76,41.38,4673600,40.97
2012-11-05,40.54,41.27,40.29,41.16,5265900,40.75
2012-11-02,40.67,41.00,40.49,40.61,5126000,40.21
2012-11-01,39.26,40.60,39.00,40.52,6356500,40.12
2012-10-31,38.93,39.25,37.76,38.07,6014600,37.69
2012-10-26,38.86,38.86,38.19,38.48,3965800,38.10
2012-10-25,39.14,39.32,38.07,38.68,4619000,38.30
2012-10-24,39.56,39.65,38.83,38.88,4046300,38.50
2012-10-23,39.56,39.68,38.96,39.46,3887700,39.07
2012-10-22,39.84,39.99,39.42,39.99,3151200,39.59
2012-10-19,40.41,40.56,39.74,39.99,3122100,39.59
2012-10-18,40.82,41.05,40.24,40.46,4509000,40.06
2012-10-17,40.54,41.24,40.34,40.84,5364300,40.44
2012-10-16,39.99,40.50,39.92,40.47,3545300,40.07
2012-10-15,39.54,39.99,39.37,39.91,3686300,39.52
2012-10-12,39.14,39.51,39.08,39.41,3589500,39.02
2012-10-11,39.53,39.94,39.03,39.23,3669800,38.84
2012-10-10,39.59,39.71,38.99,39.00,3499400,38.61
2012-10-09,39.38,40.00,39.28,39.63,5176200,39.24
2012-10-08,39.37,39.70,39.13,39.31,2524500,38.92
2012-10-05,39.92,39.99,39.48,39.61,3398100,39.22
2012-10-04,39.55,40.53,39.40,39.67,5962500,39.28
2012-10-03,38.72,39.51,38.70,39.49,5524400,39.10
2012-10-02,38.87,39.23,38.29,38.68,6720300,38.30
2012-10-01,37.71,38.97,37.71,38.58,6462300,38.20
2012-09-28,37.29,37.74,36.94,37.62,5466700,37.25
2012-09-27,37.90,38.11,37.45,37.51,5701400,37.14
2012-09-26,37.80,38.05,37.25,37.75,5106200,37.38
2012-09-25,38.00,38.53,37.75,37.75,5738300,37.38
2012-09-24,38.19,38.24,37.65,37.81,5612800,37.44
2012-09-21,38.76,39.10,38.33,38.39,5699800,38.01
2012-09-20,38.72,38.98,38.54,38.65,4610200,38.27
2012-09-19,38.56,39.28,38.38,39.04,6998900,38.65
2012-09-18,38.50,38.55,37.93,38.50,5412400,38.12
2012-09-17,39.19,39.25,38.37,38.55,3977100,38.17
2012-09-14,39.29,39.91,39.03,39.24,5042900,38.85
2012-09-13,39.18,39.78,38.71,39.28,6424800,38.89
2012-09-12,39.28,39.73,38.82,39.22,6621500,38.83
2012-09-11,39.93,40.12,39.24,39.27,5183900,38.68
2012-09-10,40.27,40.48,39.99,39.99,4147500,39.39
2012-09-07,40.43,40.70,40.16,40.46,5257100,39.86
2012-09-06,40.07,40.50,40.07,40.35,5699200,39.75
2012-09-05,40.37,40.39,39.69,39.87,3605900,39.27
2012-09-04,40.23,40.65,39.89,40.22,4112700,39.62
2012-08-31,40.64,40.73,39.91,40.31,3455400,39.71
2012-08-30,40.75,40.80,40.08,40.30,5463600,39.70
2012-08-29,40.30,40.65,40.22,40.47,4849200,39.87
2012-08-28,39.65,40.52,39.53,40.42,5495900,39.82
2012-08-27,39.75,39.93,39.26,39.63,3029700,39.04
2012-08-24,38.74,39.88,38.66,39.75,4811700,39.16
2012-08-23,39.13,39.34,38.71,38.92,3660900,38.34
2012-08-22,39.14,39.50,39.01,39.33,4545700,38.74
2012-08-21,38.95,39.58,38.85,39.28,5381500,38.69
2012-08-20,38.80,38.89,38.57,38.84,2560000,38.26
2012-08-17,38.56,39.02,38.55,38.95,3604600,38.37
2012-08-16,38.44,38.98,38.37,38.74,4351100,38.16
2012-08-15,38.18,38.66,38.16,38.54,3304400,37.96
2012-08-14,38.16,38.84,38.15,38.24,7192300,37.67
2012-08-13,37.77,37.97,37.42,37.87,3708100,37.30
2012-08-10,37.80,38.29,37.64,38.00,3743500,37.43
2012-08-09,37.84,38.39,37.81,38.12,5175200,37.55
2012-08-08,38.16,38.54,37.48,38.01,9675300,37.44
2012-08-07,37.27,37.64,36.73,37.00,8056800,36.45
2012-08-06,37.41,37.48,36.76,36.84,6380500,36.29
2012-08-03,37.11,37.77,36.94,37.26,5857200,36.70
2012-08-02,36.16,36.85,35.82,36.40,7818400,35.86
2012-08-01,35.98,36.14,34.89,35.06,6692700,34.54
2012-07-31,36.49,36.92,35.32,35.84,9570100,35.30
2012-07-30,36.49,36.98,36.21,36.66,4963200,36.11
2012-07-27,35.95,36.73,35.82,36.54,5749000,35.99
2012-07-26,35.13,35.72,34.91,35.58,5262800,35.05
2012-07-25,34.55,35.07,34.44,34.54,4928700,34.02
2012-07-24,35.08,35.23,34.06,34.43,9391400,33.92
2012-07-23,34.88,35.21,34.52,35.03,4876100,34.51
2012-07-20,35.30,35.90,34.92,35.60,7376900,35.07
2012-07-19,34.92,35.49,34.69,35.49,5479000,34.96
2012-07-18,33.99,34.98,33.79,34.81,7144100,34.29
2012-07-17,34.01,34.40,33.88,34.19,9204600,33.68
2012-07-16,33.52,33.93,32.98,33.92,5098400,33.41
2012-07-13,32.95,33.83,32.93,33.64,3880300,33.14
2012-07-12,32.90,33.07,32.31,32.83,6256700,32.34
2012-07-11,34.52,34.61,33.00,33.15,9386500,32.66
2012-07-10,34.34,35.03,34.31,34.59,7777000,34.07
2012-07-09,34.02,34.43,34.01,34.20,4285500,33.69
2012-07-06,33.81,34.22,33.59,34.03,4699700,33.52
2012-07-05,33.38,34.92,33.33,34.27,10410600,33.76
2012-07-03,33.67,33.85,33.11,33.36,5014400,32.86
2012-07-02,34.45,34.54,33.84,33.89,4802500,33.38
2012-06-29,34.34,34.65,33.75,34.35,6747200,33.84
2012-06-28,32.98,33.72,32.70,33.45,7993700,32.95
2012-06-27,33.50,33.73,32.80,33.14,10083600,32.65
2012-06-26,33.95,34.39,33.53,34.20,6282900,33.69
2012-06-25,33.34,33.94,33.16,33.82,5996000,33.32
2012-06-22,35.11,35.14,33.76,33.78,12705500,33.28
2012-06-21,37.05,37.06,34.82,34.92,9028000,34.40
2012-06-20,37.27,37.32,36.37,36.99,3979600,36.44
2012-06-19,36.75,37.21,36.26,37.17,5046400,36.62
2012-06-18,35.94,36.69,35.54,36.61,4970500,36.06
2012-06-15,36.16,36.19,35.73,36.06,4801500,35.52
2012-06-14,35.38,36.25,35.23,35.82,7273100,35.29
2012-06-13,36.65,36.67,34.83,35.06,17041600,34.54
2012-06-12,36.58,37.05,36.44,36.92,4426900,36.17
2012-06-11,37.64,37.75,36.34,36.36,4283700,35.62
2012-06-08,36.38,37.56,36.38,37.21,4863900,36.46
2012-06-07,37.84,37.97,36.34,36.49,7465200,35.75
2012-06-06,36.93,37.38,36.91,37.38,4653500,36.62
2012-06-05,36.34,36.67,35.94,36.58,3655300,35.84
2012-06-04,36.96,36.96,35.88,36.42,5640600,35.68
2012-06-01,37.17,37.52,36.67,36.85,6466600,36.10
2012-05-31,38.46,38.58,37.71,38.05,6967100,37.28
2012-05-30,38.13,38.64,37.76,38.30,7895400,37.52
2012-05-29,38.13,39.05,38.10,38.99,6437300,38.20
2012-05-25,37.87,38.20,37.57,37.76,3888100,36.99
2012-05-24,37.29,38.06,37.17,38.02,6752700,37.25
2012-05-23,36.29,37.10,35.78,37.05,5156900,36.30
2012-05-22,36.39,36.74,36.14,36.47,4175100,35.73
2012-05-21,35.36,36.35,35.19,36.28,8251700,35.54
2012-05-18,35.47,35.91,35.01,35.24,9272500,34.53
2012-05-17,37.38,37.87,35.43,35.43,7832200,34.71
2012-05-16,37.16,37.47,36.87,37.29,5557700,36.53
2012-05-15,36.68,37.70,36.56,37.01,7306900,36.26
2012-05-14,37.50,37.69,36.61,36.68,5753800,35.94
2012-05-11,37.63,38.39,37.55,37.98,5355100,37.21
2012-05-10,38.35,38.50,37.43,37.83,7610100,37.06
2012-05-09,37.51,38.71,37.02,38.05,16474200,37.28
2012-05-08,40.13,40.15,38.34,39.51,10794900,38.71
2012-05-07,40.80,41.19,40.23,40.29,5952400,39.47
2012-05-04,41.36,41.50,40.78,41.11,4862800,40.28
2012-05-03,40.60,41.59,40.30,41.55,9276400,40.71
2012-05-02,41.33,42.17,41.20,41.27,8773200,40.43
2012-05-01,41.14,41.74,40.69,41.44,4672300,40.60
2012-04-30,41.02,41.22,40.49,41.02,4103100,40.19
2012-04-27,40.79,41.50,40.67,41.18,5343400,40.35
2012-04-26,39.93,40.99,39.93,40.65,3895500,39.83
2012-04-25,39.07,40.05,39.01,39.94,4626700,39.13
2012-04-24,38.80,39.14,38.47,38.82,3988300,38.03
2012-04-23,38.81,38.90,38.26,38.76,5111100,37.97
2012-04-20,39.80,39.91,39.09,39.10,6169400,38.31
2012-04-19,40.13,40.30,39.34,39.65,4962800,38.85
2012-04-18,39.95,40.32,39.60,40.13,4534200,39.32
2012-04-17,40.34,40.65,39.84,40.18,7448600,39.37
2012-04-16,40.17,40.47,39.55,40.01,3606200,39.20
2012-04-13,40.21,40.49,39.92,39.98,4197000,39.17
2012-04-12,39.39,40.35,39.38,40.33,3742800,39.51
2012-04-11,38.93,39.74,38.90,39.39,5062800,38.59
2012-04-10,39.99,40.19,38.50,38.56,5251900,37.78
2012-04-09,40.00,40.24,39.75,39.98,3893900,39.17
2012-04-05,40.57,41.27,40.35,40.87,6286400,40.04
2012-04-04,40.54,41.05,40.06,40.90,5997100,40.07
2012-04-03,40.36,41.26,40.30,40.89,5996700,40.06
2012-04-02,39.67,40.39,39.57,40.24,4911200,39.42
2012-03-30,40.24,40.24,39.71,39.73,3839600,38.92
2012-03-29,39.95,40.33,39.63,39.93,4736300,39.12
2012-03-28,40.42,40.57,39.63,40.04,5095300,39.23
2012-03-27,40.39,40.74,40.34,40.42,4255600,39.60
2012-03-26,40.00,40.61,39.80,40.44,4120500,39.62
2012-03-23,40.00,40.04,39.19,39.84,4681900,39.03
2012-03-22,40.08,40.55,39.72,40.06,6181800,39.25
2012-03-21,39.68,40.68,39.67,40.47,8172400,39.65
2012-03-20,39.24,39.87,39.08,39.70,4635800,38.90
2012-03-19,39.57,39.70,39.15,39.62,4070400,38.82
2012-03-16,39.86,39.96,39.25,39.73,6189000,38.92
2012-03-15,39.87,39.89,39.29,39.77,3217600,38.96
2012-03-14,39.58,39.93,39.37,39.91,4181500,39.10
2012-03-13,39.70,39.79,39.05,39.57,5397900,38.77
2012-03-12,39.80,39.95,39.53,39.58,4489400,38.58
2012-03-09,39.29,39.83,39.29,39.67,5220900,38.67
2012-03-08,38.63,39.36,38.32,39.30,5947000,38.31
2012-03-07,37.51,38.57,37.42,38.47,5198000,37.50
2012-03-06,38.00,38.24,37.12,37.28,7925000,36.34
2012-03-05,38.18,38.68,37.86,38.24,5609500,37.28
2012-03-02,38.84,38.89,38.13,38.31,5162100,37.34
2012-03-01,38.27,38.88,37.11,38.85,12925300,37.87
2012-02-29,37.72,38.34,37.56,37.97,7547600,37.01
2012-02-28,37.31,37.90,37.17,37.84,5715000,36.89
2012-02-27,36.71,37.47,36.57,37.37,4850300,36.43
2012-02-24,37.15,37.34,36.87,37.06,4335800,36.13
2012-02-23,37.15,37.50,36.76,36.99,8699800,36.06
2012-02-22,36.68,37.90,36.68,37.68,8055000,36.73
2012-02-21,37.62,38.22,36.39,36.69,12838100,35.76
2012-02-17,35.65,36.31,35.53,36.25,6069200,35.34
2012-02-16,35.00,35.53,34.77,35.30,4448800,34.41
2012-02-15,35.61,35.68,34.67,34.97,5655200,34.09
2012-02-14,35.62,35.88,35.25,35.56,4940900,34.66
2012-02-13,35.92,36.07,35.40,35.80,3028700,34.90
2012-02-10,35.82,35.89,35.38,35.68,3386800,34.78
2012-02-09,35.97,36.23,35.51,36.21,5102000,35.30
2012-02-08,35.93,36.28,35.53,35.86,5143000,34.96
2012-02-07,35.66,36.00,35.52,35.87,4559200,34.97
2012-02-06,35.92,36.16,35.61,35.72,5084700,34.82
2012-02-03,35.62,36.37,35.60,36.12,7413300,35.21
2012-02-02,34.62,35.45,34.28,35.23,11135400,34.34
2012-02-01,33.94,34.16,33.38,33.99,7657600,33.13
2012-01-31,34.31,34.33,33.18,33.69,6592800,32.84
2012-01-30,33.58,34.33,33.31,34.32,6112500,33.45
2012-01-27,33.16,33.95,33.14,33.82,6452700,32.97
2012-01-26,34.35,34.41,32.84,33.27,13138400,32.43
2012-01-25,35.11,35.19,33.82,34.19,10514800,33.33
2012-01-24,34.86,35.32,34.45,35.28,5952900,34.39
2012-01-23,35.43,35.78,34.80,35.09,4389700,34.21
2012-01-20,35.75,35.75,35.34,35.38,4347400,34.49
2012-01-19,35.30,35.92,35.30,35.82,5572100,34.92
2012-01-18,34.69,35.45,34.37,35.37,5927500,34.48
2012-01-17,34.70,34.95,34.34,34.68,5708100,33.81
2012-01-13,34.77,35.21,34.31,34.42,7045000,33.55
2012-01-12,35.00,35.21,34.66,35.04,4286300,34.16
2012-01-11,34.80,35.07,34.70,34.84,4228000,33.96
2012-01-10,34.80,34.87,34.29,34.87,7211800,33.99
2012-01-09,34.29,34.66,34.15,34.46,6362000,33.59
2012-01-06,33.93,34.80,33.63,34.56,10806000,33.69
2012-01-05,32.66,33.98,32.39,33.92,14087400,33.06
2012-01-04,32.81,32.95,32.29,32.65,10528100,31.83
2012-01-03,32.87,33.10,32.52,32.68,7095600,31.86
2011-12-30,32.59,32.68,32.10,32.18,2996500,31.37
2011-12-29,32.61,33.00,32.29,32.49,3890400,31.67
2011-12-28,32.37,32.98,31.95,32.67,5293600,31.85
2011-12-27,32.09,32.51,31.89,32.28,2875100,31.47
2011-12-23,32.19,32.20,31.72,32.20,2174600,31.39
2011-12-22,32.11,32.35,31.66,31.87,3480600,31.07
2011-12-21,31.80,32.13,31.43,32.04,3454900,31.23
2011-12-20,31.14,31.95,30.95,31.84,4244100,31.04
2011-12-19,31.26,31.34,30.42,30.57,4353800,29.80
2011-12-16,31.71,31.99,30.99,31.03,7250000,30.25
2011-12-15,31.38,31.67,30.92,31.47,5428300,30.68
2011-12-14,30.53,31.41,30.52,30.82,8206800,30.04
2011-12-13,32.54,32.59,30.49,30.71,14099000,29.94
2011-12-12,32.48,32.70,32.00,32.42,4592800,31.50
2011-12-09,32.54,32.96,32.42,32.79,4304500,31.86
2011-12-08,32.56,33.04,32.20,32.29,4553400,31.38
2011-12-07,32.71,33.25,32.46,32.75,6146000,31.83
2011-12-06,33.19,33.20,32.63,32.95,4414200,32.02
2011-12-05,32.81,33.26,32.78,33.14,6202400,32.20
2011-12-02,32.49,33.01,32.40,32.54,8296100,31.62
2011-12-01,32.30,33.00,31.91,32.16,7438300,31.25
2011-11-30,32.09,32.39,31.50,32.33,9830900,31.42
2011-11-29,30.84,31.12,30.38,31.03,8295400,30.15
2011-11-28,30.78,31.26,30.59,30.84,8325100,29.97
2011-11-25,29.60,29.90,29.43,29.45,2904400,28.62
2011-11-23,30.08,30.22,29.44,29.56,5813800,28.73
2011-11-22,30.94,31.19,30.25,30.48,10227400,29.62
2011-11-21,30.02,31.15,29.69,31.01,10580000,30.13
2011-11-18,30.69,30.73,30.05,30.36,4916300,29.50
2011-11-17,30.79,31.14,30.14,30.42,7546900,29.56
2011-11-16,30.67,31.45,30.47,30.72,7497900,29.85
2011-11-15,30.44,31.25,30.35,30.94,6053600,30.07
2011-11-14,30.88,31.05,30.44,30.55,8783600,29.69
2011-11-11,31.10,31.58,30.79,31.14,6611600,30.26
2011-11-10,31.02,31.39,30.28,30.77,8323700,29.90
2011-11-09,30.80,31.58,30.20,30.45,14585200,29.59
2011-11-08,32.50,32.67,31.36,32.16,11893200,31.25
2011-11-07,31.43,32.40,31.36,32.35,11292000,31.44
2011-11-04,31.09,31.43,30.70,31.36,7862300,30.47
2011-11-03,30.24,31.58,29.46,31.47,12009400,30.58
2011-11-02,30.82,30.95,30.20,30.42,9279900,29.56
2011-11-01,29.05,30.38,28.69,30.06,10830400,29.21
2011-10-31,30.96,31.15,30.50,30.53,8050400,29.67
2011-10-28,31.80,32.12,31.00,31.46,11256500,30.57
2011-10-27,31.45,32.35,30.89,31.92,9531900,31.02
2011-10-26,30.97,31.00,30.27,30.56,8005700,29.70
2011-10-25,30.48,30.85,30.15,30.56,6957900,29.70
2011-10-24,29.91,31.37,29.80,31.12,13643500,30.24
2011-10-21,29.94,30.24,29.23,29.84,8290900,29.00
2011-10-20,29.48,29.67,28.98,29.54,5702000,28.71
2011-10-19,29.74,30.02,29.33,29.42,7644600,28.59
2011-10-18,28.95,30.37,28.62,29.96,9576900,29.11
2011-10-17,29.07,29.43,28.75,28.85,5389200,28.04
2011-10-14,28.91,29.30,28.71,29.26,9138200,28.43
2011-10-13,28.12,28.77,28.00,28.35,7180600,27.55
2011-10-12,28.21,28.77,27.93,28.42,9068100,27.62
2011-10-11,27.46,28.04,27.08,27.94,12250000,27.15
2011-10-10,27.45,27.88,27.41,27.70,7242200,26.92
2011-10-07,26.61,27.40,26.55,26.95,11398500,26.19
2011-10-06,25.74,26.47,25.28,26.44,12010900,25.69
2011-10-05,26.20,26.65,25.45,26.17,12065900,25.43
2011-10-04,24.97,26.22,24.38,26.17,15500000,25.43
2011-10-03,26.11,26.59,25.30,25.37,10133600,24.65
2011-09-30,26.92,27.20,26.31,26.32,8099300,25.58
2011-09-29,27.70,27.70,26.50,27.26,8457600,26.49
2011-09-28,27.21,27.73,27.08,27.18,10785100,26.41
2011-09-27,28.02,28.07,27.00,27.18,10026000,26.41
