Date,Open,High,Low,Close,Volume,Adj Close
2013-05-29,2.44,2.50,2.30,2.36,1966400,2.36
2013-05-28,2.38,2.51,2.26,2.51,3415800,2.51
2013-05-24,2.10,2.96,2.08,2.62,16748400,2.62
2013-05-23,1.73,2.02,1.71,2.02,2537100,2.02
2013-05-22,1.79,1.85,1.71,1.71,1201100,1.71
2013-05-21,1.80,1.83,1.76,1.79,605300,1.79
2013-05-20,1.69,1.82,1.68,1.80,1599500,1.80
2013-05-17,1.78,1.82,1.67,1.67,822700,1.67
2013-05-16,1.74,1.85,1.71,1.76,1251400,1.76
2013-05-15,1.66,1.76,1.65,1.69,1185800,1.69
2013-05-14,1.68,1.72,1.63,1.66,809100,1.66
2013-05-13,1.70,1.73,1.66,1.68,344900,1.68
2013-05-10,1.62,1.72,1.62,1.70,717000,1.70
2013-05-09,1.65,1.69,1.62,1.63,479900,1.63
2013-05-08,1.69,1.78,1.63,1.65,830800,1.65
2013-05-07,1.69,1.70,1.65,1.70,269000,1.70
2013-05-06,1.65,1.71,1.65,1.71,398500,1.71
2013-05-03,1.67,1.73,1.63,1.65,729900,1.65
2013-05-02,1.61,1.66,1.55,1.61,1024300,1.61
2013-05-01,1.68,1.73,1.60,1.60,858900,1.60
2013-04-30,1.80,1.80,1.67,1.68,798000,1.68
2013-04-29,1.84,1.89,1.76,1.79,770400,1.79
2013-04-26,1.82,1.87,1.78,1.85,1147300,1.85
2013-04-25,1.78,1.84,1.72,1.81,1191400,1.81
2013-04-24,1.69,1.83,1.66,1.75,1575200,1.75
2013-04-23,1.70,1.70,1.62,1.65,723300,1.65
2013-04-22,1.75,1.75,1.67,1.68,760400,1.68
2013-04-19,1.62,1.74,1.62,1.72,791700,1.72
2013-04-18,1.65,1.69,1.59,1.60,716500,1.60
2013-04-17,1.68,1.68,1.59,1.61,908100,1.61
2013-04-16,1.73,1.73,1.64,1.65,1000400,1.65
2013-04-15,1.73,1.73,1.65,1.68,1087900,1.68
2013-04-12,1.68,1.73,1.68,1.72,790600,1.72
2013-04-11,1.75,1.77,1.60,1.72,1178300,1.72
2013-04-10,1.71,1.81,1.71,1.75,1170300,1.75
2013-04-09,1.74,1.86,1.66,1.71,4304100,1.71
2013-04-08,1.52,1.62,1.51,1.62,1412300,1.62
2013-04-05,1.50,1.59,1.49,1.53,1581800,1.53
2013-04-04,1.54,1.59,1.51,1.52,2029100,1.52
2013-04-03,1.70,1.72,1.55,1.56,3250300,1.56
2013-04-02,1.75,1.80,1.70,1.70,1802800,1.70
2013-04-01,1.85,1.86,1.72,1.76,2363100,1.76
2013-03-28,1.70,1.89,1.68,1.83,5093800,1.83
2013-03-27,1.77,1.91,1.66,1.72,7123700,1.72
2013-03-26,1.91,2.11,1.76,1.82,31149000,1.82
2013-03-25,4.86,5.15,4.86,5.13,2318500,5.13
2013-03-22,4.94,4.99,4.76,4.85,3952800,4.85
2013-03-21,5.35,5.38,5.10,5.14,1787400,5.14
2013-03-20,5.32,5.43,5.00,5.33,2956700,5.33
2013-03-19,5.84,5.93,5.17,5.26,3494200,5.26
2013-03-18,5.65,5.95,5.50,5.71,2488600,5.71
2013-03-15,5.49,5.64,5.36,5.61,2850000,5.61
2013-03-14,5.37,5.60,5.28,5.43,2352300,5.43
2013-03-13,5.42,5.42,5.21,5.26,1812200,5.26
2013-03-12,5.15,5.41,5.08,5.37,2332600,5.37
2013-03-11,5.04,5.21,4.96,5.16,1629500,5.16
2013-03-08,5.01,5.05,4.83,5.04,1392600,5.04
2013-03-07,5.10,5.14,4.87,4.90,1678800,4.90
2013-03-06,4.78,5.11,4.75,5.00,1689600,5.00
2013-03-05,4.68,4.82,4.66,4.74,1140900,4.74
2013-03-04,4.54,4.68,4.53,4.64,1162600,4.64
2013-03-01,4.55,4.58,4.42,4.51,1258900,4.51
2013-02-28,4.50,4.51,4.41,4.44,693100,4.44
2013-02-27,4.60,4.62,4.49,4.51,774400,4.51
2013-02-26,4.51,4.63,4.45,4.62,997300,4.62
2013-02-25,4.54,4.65,4.45,4.47,849000,4.47
2013-02-22,4.54,4.60,4.40,4.50,727600,4.50
2013-02-21,4.67,4.69,4.42,4.51,1215700,4.51
2013-02-20,4.65,4.72,4.59,4.64,1090900,4.64
2013-02-19,4.62,4.73,4.60,4.65,947900,4.65
2013-02-15,4.70,4.72,4.53,4.59,1358100,4.59
2013-02-14,4.82,4.85,4.64,4.69,1178400,4.69
2013-02-13,4.76,4.97,4.65,4.70,2757500,4.70
2013-02-12,4.48,4.95,4.34,4.69,7305200,4.69
2013-02-11,4.04,4.12,3.99,3.99,698500,3.99
2013-02-08,4.06,4.11,3.99,4.06,764500,4.06
2013-02-07,4.17,4.22,4.02,4.07,1058700,4.07
2013-02-06,4.02,4.25,4.02,4.18,762000,4.18
2013-02-05,4.00,4.08,3.98,4.02,650500,4.02
2013-02-04,4.04,4.07,3.98,3.99,654500,3.99
2013-02-01,4.00,4.11,4.00,4.05,840100,4.05
2013-01-31,4.01,4.03,3.91,3.97,566400,3.97
2013-01-30,4.05,4.12,3.99,4.00,594400,4.00
2013-01-29,4.02,4.13,3.97,4.07,1699700,4.07
2013-01-28,4.21,4.24,4.00,4.01,580800,4.01
2013-01-25,4.07,4.19,4.02,4.19,664800,4.19
2013-01-24,4.09,4.19,4.04,4.05,838400,4.05
2013-01-23,4.06,4.09,4.04,4.06,527300,4.06
2013-01-22,4.05,4.11,4.00,4.04,820700,4.04
2013-01-18,4.18,4.18,4.03,4.03,921200,4.03
2013-01-17,4.25,4.25,4.10,4.17,646300,4.17
2013-01-16,4.42,4.48,4.22,4.25,1265800,4.25
2013-01-15,4.45,4.51,4.40,4.42,558500,4.42
2013-01-14,4.50,4.62,4.42,4.46,782900,4.46
2013-01-11,4.54,4.56,4.46,4.49,392000,4.49
2013-01-10,4.70,4.75,4.47,4.52,530900,4.52
2013-01-09,4.49,4.70,4.47,4.67,773600,4.67
2013-01-08,4.43,4.47,4.29,4.42,484200,4.42
2013-01-07,4.50,4.50,4.37,4.42,351100,4.42
2013-01-04,4.43,4.52,4.25,4.49,477100,4.49
2013-01-03,4.53,4.64,4.37,4.39,731800,4.39
2013-01-02,4.27,4.54,4.24,4.53,914100,4.53
2012-12-31,4.20,4.21,4.06,4.16,580800,4.16
2012-12-28,4.17,4.26,4.10,4.21,435700,4.21
2012-12-27,4.24,4.34,4.12,4.21,558800,4.21
2012-12-26,4.15,4.25,4.08,4.23,598800,4.23
2012-12-24,4.07,4.13,3.99,4.13,330800,4.13
2012-12-21,3.97,4.15,3.90,4.05,2478500,4.05
2012-12-20,4.02,4.09,3.97,4.01,721200,4.01
2012-12-19,4.11,4.16,4.01,4.03,634100,4.03
2012-12-18,4.07,4.18,3.98,4.12,672000,4.12
2012-12-17,4.11,4.35,4.03,4.07,626200,4.07
2012-12-14,4.11,4.18,4.05,4.08,601000,4.08
2012-12-13,4.18,4.29,4.10,4.10,797400,4.10
2012-12-12,3.90,4.31,3.89,4.17,1427600,4.17
2012-12-11,4.14,4.45,4.11,4.44,859200,4.44
2012-12-10,4.00,4.12,3.99,4.09,496100,4.09
2012-12-07,4.14,4.14,3.99,3.99,394600,3.99
2012-12-06,4.07,4.14,4.05,4.11,354000,4.11
2012-12-05,4.22,4.30,4.04,4.07,605500,4.07
2012-12-04,4.26,4.33,4.18,4.19,359200,4.19
2012-12-03,4.42,4.45,4.25,4.27,371100,4.27
2012-11-30,4.45,4.49,4.26,4.38,586400,4.38
2012-11-29,4.46,4.62,4.40,4.43,469700,4.43
2012-11-28,4.56,4.56,4.40,4.45,404500,4.45
2012-11-27,4.46,4.77,4.46,4.58,815500,4.58
2012-11-26,4.41,4.56,4.38,4.50,627400,4.50
2012-11-23,4.33,4.42,4.32,4.38,396800,4.38
2012-11-21,4.22,4.38,4.20,4.30,655600,4.30
2012-11-20,4.23,4.28,4.18,4.23,547700,4.23
2012-11-19,4.27,4.38,4.12,4.23,652200,4.23
2012-11-16,4.16,4.40,4.08,4.22,637100,4.22
2012-11-15,4.26,4.44,4.15,4.17,878500,4.17
2012-11-14,4.47,4.50,4.08,4.12,771100,4.12
2012-11-13,4.56,4.56,4.38,4.45,511000,4.45
2012-11-12,4.72,4.75,4.56,4.60,552300,4.60
2012-11-09,4.51,4.72,4.50,4.69,490400,4.69
2012-11-08,4.54,4.60,4.48,4.53,507500,4.53
2012-11-07,4.74,4.85,4.52,4.56,365600,4.56
2012-11-06,4.75,4.84,4.55,4.66,497400,4.66
2012-11-05,4.56,4.82,4.56,4.76,339500,4.76
2012-11-02,4.68,4.78,4.51,4.55,579100,4.55
2012-11-01,4.70,4.83,4.59,4.65,421900,4.65
2012-10-31,4.89,4.92,4.69,4.72,456400,4.72
2012-10-26,5.14,5.24,4.80,4.87,860900,4.87
2012-10-25,5.05,5.25,5.04,5.14,921000,5.14
2012-10-24,4.99,5.10,4.88,5.04,673200,5.04
2012-10-23,4.93,5.07,4.81,5.00,1112400,5.00
2012-10-22,4.59,5.11,4.45,5.02,2059900,5.02
2012-10-19,4.65,4.68,3.36,4.35,7227000,4.35
2012-10-18,4.85,4.86,4.57,4.67,953200,4.67
2012-10-17,4.82,5.01,4.79,4.86,427600,4.86
2012-10-16,4.78,4.86,4.71,4.75,441400,4.75
2012-10-15,4.82,4.85,4.67,4.71,551400,4.71
2012-10-12,4.95,4.98,4.79,4.80,489000,4.80
2012-10-11,4.98,5.13,4.88,4.91,454300,4.91
2012-10-10,5.02,5.05,4.90,4.94,454800,4.94
2012-10-09,5.17,5.19,5.00,5.03,299200,5.03
2012-10-08,5.09,5.29,5.09,5.15,302300,5.15
2012-10-05,5.11,5.31,5.06,5.09,513800,5.09
2012-10-04,4.94,5.09,4.90,5.08,714800,5.08
2012-10-03,5.30,5.30,4.85,4.89,2035000,4.89
2012-10-02,5.37,5.44,5.20,5.26,524700,5.26
2012-10-01,5.49,5.55,5.34,5.36,370200,5.36
2012-09-28,5.66,5.71,5.43,5.45,265600,5.45
2012-09-27,5.54,5.72,5.46,5.69,380700,5.69
2012-09-26,5.57,5.65,5.42,5.44,234800,5.44
2012-09-25,5.84,5.89,5.53,5.56,593400,5.56
2012-09-24,5.80,5.95,5.65,5.84,398500,5.84
2012-09-21,5.92,6.02,5.81,5.86,1016400,5.86
2012-09-20,5.66,5.85,5.53,5.83,532300,5.83
2012-09-19,5.81,5.83,5.64,5.71,569500,5.71
2012-09-18,5.63,5.83,5.60,5.77,855600,5.77
2012-09-17,5.50,5.71,5.50,5.69,568900,5.69
2012-09-14,5.45,5.53,5.35,5.53,502500,5.53
2012-09-13,5.31,5.47,5.23,5.45,518500,5.45
2012-09-12,5.35,5.46,5.26,5.32,403100,5.32
2012-09-11,5.55,5.63,5.31,5.35,476600,5.35
2012-09-10,5.64,5.72,5.43,5.53,357100,5.53
2012-09-07,5.65,5.80,5.52,5.60,1099300,5.60
2012-09-06,5.36,5.48,5.18,5.39,578800,5.39
2012-09-05,5.04,5.47,4.98,5.33,1133400,5.33
2012-09-04,4.97,5.06,4.81,5.06,511400,5.06
2012-08-31,5.02,5.02,4.90,4.97,332700,4.97
2012-08-30,4.97,5.02,4.95,4.99,368400,4.99
