EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1389969000,2.74,2.74,2.74,2.74,11333
1,2.7399,2.7399,2.7399,2.7399,365
2,2.731,2.731,2.731,2.731,200
3,2.7399,2.7399,2.7399,2.7399,500
4,2.75,2.75,2.739,2.739,3647
5,2.745,2.75,2.745,2.75,730
7,2.75,2.75,2.7496,2.7496,4000
8,2.74,2.741,2.74,2.741,3418
9,2.73,2.74,2.7299,2.74,10392
10,2.729,2.73,2.729,2.73,5600
11,2.73,2.73,2.73,2.73,185
12,2.73,2.73,2.7299,2.73,3068
14,2.7236,2.7236,2.7236,2.7236,250
15,2.73,2.73,2.73,2.73,200
16,2.7235,2.7299,2.7235,2.7299,1800
19,2.7299,2.7299,2.7299,2.7299,500
20,2.7204,2.73,2.7204,2.73,250
21,2.721,2.721,2.72,2.721,1450
22,2.72,2.73,2.72,2.73,200
23,2.7201,2.7201,2.7201,2.7201,552
25,2.73,2.73,2.72,2.7201,2200
26,2.73,2.73,2.73,2.73,200
28,2.701,2.73,2.7,2.73,6300
29,2.7,2.71,2.7,2.71,5100
31,2.71,2.71,2.7,2.7099,4420
33,2.71,2.71,2.71,2.71,100
35,2.72,2.72,2.72,2.72,1800
37,2.7175,2.72,2.7175,2.72,1600
39,2.72,2.72,2.72,2.72,100
43,2.7198,2.72,2.7198,2.72,1000
44,2.7199,2.72,2.7199,2.72,6100
45,2.73,2.73,2.7175,2.7175,14567
47,2.75,2.75,2.74,2.74,4750
48,2.76,2.77,2.7401,2.75,68599
49,2.77,2.77,2.76,2.7699,11876
50,2.7999,2.8,2.77,2.77,63293
51,2.84,2.84,2.79,2.795,117972
52,2.82,2.85,2.76,2.84,131948
53,2.8399,2.85,2.81,2.81,46476
54,2.8201,2.84,2.81,2.8301,20697
55,2.8201,2.83,2.81,2.82,19810
56,2.83,2.83,2.82,2.82,1509
57,2.822,2.84,2.822,2.84,25038
58,2.82,2.831,2.82,2.82,25960
59,2.8396,2.84,2.82,2.8225,13408
60,2.84,2.85,2.8301,2.8301,43874
61,2.84,2.84,2.83,2.84,5128
62,2.83,2.84,2.82,2.83,28325
63,2.82,2.8201,2.81,2.82,9992
64,2.82,2.82,2.8,2.82,21946
65,2.83,2.83,2.8299,2.8299,3320
66,2.82,2.82,2.82,2.82,400
67,2.83,2.83,2.8201,2.8201,1400
68,2.8168,2.8201,2.81,2.82,24692
69,2.8101,2.82,2.8101,2.82,11207
70,2.81,2.81,2.81,2.81,1400
71,2.8199,2.8199,2.8184,2.8184,6211
72,2.8,2.81,2.8,2.81,11887
73,2.8,2.8099,2.8,2.8099,5447
74,2.8099,2.8099,2.8004,2.8004,1179
75,2.81,2.81,2.8099,2.81,2700
76,2.81,2.81,2.81,2.81,100
77,2.808,2.81,2.808,2.809,5425
81,2.8399,2.84,2.82,2.82,16292
82,2.83,2.8399,2.83,2.8399,6692
83,2.8315,2.84,2.83,2.83,1400
84,2.84,2.84,2.8301,2.8301,7100
85,2.85,2.85,2.8301,2.84,34758
86,2.86,2.879,2.8478,2.85,152464
87,2.86,2.8601,2.86,2.8601,1400
88,2.8622,2.87,2.85,2.8604,23805
89,2.89,2.89,2.87,2.87,24694
90,2.8901,2.9,2.88,2.89,91031
91,2.9,2.91,2.89,2.9,21220
92,2.8701,2.909,2.8701,2.901,33394
93,2.879,2.879,2.87,2.87,3450
94,2.87,2.87,2.87,2.87,4694
95,2.86,2.87,2.86,2.87,5097
96,2.862,2.872,2.86,2.87,7293
97,2.8575,2.8575,2.8575,2.8575,1000
99,2.83,2.8584,2.8222,2.8584,22640
100,2.83,2.8301,2.8299,2.83,8704
101,2.83,2.83,2.81,2.8296,24292
102,2.8399,2.84,2.8399,2.84,10290
104,2.832,2.84,2.83,2.84,4500
105,2.84,2.84,2.84,2.84,2700
107,2.85,2.85,2.85,2.85,2700
108,2.8468,2.849,2.84,2.84,2700
109,2.8404,2.85,2.8404,2.85,4900
110,2.8401,2.8401,2.8401,2.8401,1500
111,2.84,2.842,2.84,2.84,4258
112,2.8399,2.8399,2.831,2.831,2695
113,2.8378,2.84,2.8378,2.84,5000
115,2.83,2.8399,2.83,2.83,1200
116,2.8399,2.8399,2.8399,2.8399,1000
117,2.83,2.83,2.83,2.83,100
119,2.84,2.84,2.83,2.83,4261
120,2.822,2.83,2.82,2.83,12129
122,2.8299,2.8299,2.8299,2.8299,2000
123,2.8478,2.85,2.8215,2.8215,60861
125,2.85,2.85,2.8499,2.8499,4500
127,2.85,2.85,2.8401,2.8436,1415
128,2.8401,2.8401,2.8401,2.8401,2000
129,2.83,2.84,2.83,2.84,3600
131,2.83,2.83,2.8299,2.8299,2200
132,2.8384,2.8385,2.8301,2.8301,3000
133,2.8382,2.8394,2.8304,2.8304,4700
134,2.8301,2.8301,2.8301,2.8301,600
137,2.83,2.84,2.83,2.84,3198
138,2.84,2.84,2.8375,2.8375,1300
139,2.84,2.84,2.84,2.84,1408
140,2.84,2.84,2.83,2.8367,1900
141,2.83,2.83,2.83,2.83,100
142,2.8301,2.8351,2.8301,2.8351,4670
144,2.8399,2.8399,2.8399,2.8399,1300
146,2.834,2.834,2.834,2.834,1000
147,2.83,2.83,2.83,2.83,200
148,2.84,2.84,2.835,2.84,9180
149,2.84,2.84,2.8375,2.8375,1100
150,2.8304,2.84,2.8304,2.84,1205
151,2.85,2.85,2.84,2.84,14457
152,2.85,2.87,2.85,2.85,34158
154,2.88,2.88,2.86,2.86,17800
155,2.8901,2.8901,2.88,2.88,20468
156,2.91,2.91,2.89,2.89,26350
157,2.9,2.91,2.8901,2.91,25475
158,2.892,2.8999,2.892,2.895,1500
159,2.89,2.91,2.89,2.9,27129
160,2.87,2.88,2.87,2.88,700
161,2.8775,2.8775,2.8775,2.8775,1000
162,2.88,2.88,2.8798,2.8798,2517
163,2.8899,2.8899,2.8899,2.8899,1000
165,2.89,2.89,2.89,2.89,5089
166,2.89,2.9,2.89,2.9,2096
167,2.89,2.9,2.89,2.9,2479
168,2.89,2.8901,2.89,2.89,2100
169,2.88,2.89,2.88,2.89,7324
170,2.87,2.87,2.87,2.87,5000
171,2.8768,2.8768,2.8768,2.8768,1000
173,2.8803,2.8899,2.88,2.88,1897
174,2.87,2.8801,2.87,2.8801,12675
176,2.875,2.875,2.875,2.875,500
177,2.87,2.87,2.87,2.87,200
