Date,Open,High,Low,Close,Volume,Adj Close
2014-01-17,22.58,22.78,22.58,22.74,44349100,22.74
2014-01-16,22.85,22.91,22.63,22.78,38918100,22.78
2014-01-15,22.50,23.00,22.42,22.78,61767800,22.78
2014-01-14,22.33,22.52,22.20,22.41,44300800,22.41
2014-01-13,22.39,22.82,22.14,22.19,59600000,22.19
2014-01-10,22.23,22.28,21.99,22.22,30318600,22.22
2014-01-09,22.29,22.31,21.92,22.09,31794000,22.09
2014-01-08,22.29,22.36,22.15,22.29,38362700,22.29
2014-01-07,22.26,22.41,22.15,22.31,37368800,22.31
2014-01-06,21.96,22.23,21.93,22.01,34150300,22.01
2014-01-03,22.09,22.12,21.83,21.98,36328200,21.98
2014-01-02,22.17,22.29,21.91,22.00,44377000,22.00
2013-12-31,22.25,22.47,22.15,22.43,33240500,22.26
2013-12-30,22.00,22.33,22.00,22.25,27711600,22.08
2013-12-27,21.79,22.05,21.78,22.02,24098500,21.85
2013-12-26,21.72,21.88,21.72,21.80,17064400,21.63
2013-12-24,21.46,21.76,21.44,21.69,18372000,21.53
2013-12-23,21.25,21.63,21.22,21.57,41245900,21.41
2013-12-20,21.06,21.25,20.96,21.13,64140500,20.97
2013-12-19,21.07,21.08,20.77,21.07,36678100,20.91
2013-12-18,20.88,21.04,20.52,21.00,55495300,20.84
2013-12-17,20.74,21.13,20.68,20.92,45343300,20.76
2013-12-16,20.35,20.75,20.25,20.68,54485600,20.52
2013-12-13,20.58,20.58,20.22,20.24,51883000,20.09
2013-12-12,20.82,20.83,20.26,20.51,69575100,20.35
2013-12-11,20.99,21.01,20.65,20.88,66075000,20.72
2013-12-10,21.26,21.34,21.15,21.21,45957600,21.05
2013-12-09,21.30,21.33,21.20,21.22,41430000,21.06
2013-12-06,21.12,21.32,21.07,21.28,51266300,21.12
2013-12-05,21.20,21.30,20.89,20.91,61782100,20.75
2013-12-04,21.09,21.35,21.07,21.25,44500500,21.09
2013-12-03,21.05,21.26,21.02,21.26,52496700,21.10
2013-12-02,21.29,21.30,21.06,21.09,35385200,20.93
2013-11-29,21.39,21.44,21.20,21.25,25043700,21.09
2013-11-27,21.29,21.35,21.15,21.27,40021100,21.11
2013-11-26,21.30,21.41,21.08,21.21,48629300,21.05
2013-11-25,21.45,21.52,21.27,21.27,37566000,21.11
2013-11-22,21.41,21.50,21.31,21.46,41105000,21.30
2013-11-21,21.36,21.49,21.25,21.47,40695500,21.31
2013-11-20,21.47,21.47,21.22,21.23,44299700,21.07
2013-11-19,21.31,21.54,21.12,21.42,57309700,21.26
2013-11-18,21.60,21.72,21.20,21.29,66008900,21.13
2013-11-15,21.46,21.69,21.26,21.54,85506000,21.38
2013-11-14,20.94,21.44,20.77,21.37,243255400,21.21
2013-11-13,23.60,24.00,23.51,24.00,75234900,23.82
2013-11-12,23.43,23.84,23.43,23.73,38031100,23.55
2013-11-11,23.50,23.58,23.40,23.45,22694900,23.27
2013-11-08,23.28,23.52,23.09,23.51,30884100,23.33
2013-11-07,23.41,23.56,23.07,23.11,35502900,22.93
2013-11-06,23.21,23.37,23.02,23.28,48257800,23.10
2013-11-05,22.61,23.25,22.42,23.07,46343600,22.90
2013-11-04,22.55,22.64,22.42,22.58,28617000,22.41
2013-11-01,22.66,22.68,22.40,22.57,33328700,22.40
2013-10-31,22.64,22.71,22.44,22.56,34497400,22.39
2013-10-30,22.87,22.94,22.66,22.71,30465600,22.54
2013-10-29,22.66,22.93,22.56,22.83,30074200,22.66
2013-10-28,22.40,22.55,22.31,22.55,24072100,22.38
2013-10-25,22.59,22.63,22.35,22.46,34253400,22.29
2013-10-24,22.34,22.43,22.10,22.37,50130300,22.20
2013-10-23,22.61,22.64,22.20,22.26,49021400,22.09
2013-10-22,22.99,23.00,22.42,22.65,64553000,22.48
2013-10-21,23.11,23.11,22.81,22.93,34594600,22.76
2013-10-18,22.86,23.14,22.76,22.96,44486600,22.79
2013-10-17,22.80,22.88,22.42,22.78,69366300,22.61
2013-10-16,23.22,23.30,22.81,23.00,40483000,22.83
2013-10-15,23.36,23.42,23.17,23.18,26201200,23.00
2013-10-14,23.16,23.36,23.07,23.34,29103100,23.16
2013-10-11,23.02,23.38,22.97,23.28,27773800,23.10
2013-10-10,22.70,23.08,22.60,23.01,38817500,22.84
2013-10-09,22.66,22.76,22.29,22.50,45438300,22.33
2013-10-08,22.97,22.97,22.62,22.64,31865700,22.47
2013-10-07,22.76,23.04,22.63,22.89,29575900,22.72
2013-10-04,22.96,23.09,22.85,23.02,33607800,22.85
2013-10-03,23.24,23.35,22.94,23.01,38161100,22.84
2013-10-02,23.10,23.36,23.00,23.32,40084700,23.14
2013-10-01,23.33,23.48,23.20,23.24,30137600,23.06
2013-09-30,23.12,23.53,23.02,23.43,40335700,23.08
2013-09-27,23.35,23.55,23.05,23.33,82455500,22.99
2013-09-26,24.30,24.36,23.69,23.77,54577900,23.42
2013-09-25,24.19,24.55,24.12,24.43,26563800,24.07
2013-09-24,24.14,24.32,23.94,24.14,29762400,23.78
2013-09-23,24.38,24.45,24.11,24.27,26910300,23.91
2013-09-20,24.73,24.75,24.43,24.51,37420400,24.15
2013-09-19,24.50,24.75,24.41,24.61,40090900,24.25
2013-09-18,24.33,24.80,24.30,24.80,29541300,24.43
2013-09-17,24.39,24.55,24.30,24.37,19999500,24.01
2013-09-16,24.43,24.47,24.13,24.38,32119900,24.02
2013-09-13,24.33,24.41,24.20,24.32,18509900,23.96
2013-09-12,24.42,24.45,24.24,24.29,22340000,23.93
2013-09-11,24.20,24.41,24.18,24.38,25153200,24.02
2013-09-10,24.03,24.25,24.00,24.16,29302400,23.80
2013-09-09,23.61,23.98,23.58,23.92,22744700,23.57
2013-09-06,23.82,23.84,23.39,23.55,28615800,23.20
2013-09-05,23.81,23.84,23.54,23.69,23926000,23.34
2013-09-04,23.52,23.92,23.50,23.77,27443900,23.42
2013-09-03,23.58,23.77,23.46,23.48,31875000,23.13
2013-08-30,23.46,23.55,23.22,23.31,35248400,22.97
2013-08-29,23.47,23.75,23.45,23.45,26605500,23.10
2013-08-28,23.55,23.58,23.38,23.45,28035900,23.10
2013-08-27,23.72,23.79,23.44,23.48,39768700,23.13
2013-08-26,23.84,24.05,23.76,23.83,35708500,23.48
2013-08-23,24.07,24.16,23.84,23.86,41268600,23.51
