Date,Open,High,Low,Close,Volume,Adj Close
2014-01-17,4.46,4.86,4.46,4.77,1768500,4.77
2014-01-16,4.59,4.62,4.41,4.46,1311200,4.46
2014-01-15,4.83,4.92,4.41,4.58,2016400,4.58
2014-01-14,4.62,4.87,4.50,4.82,1216600,4.82
2014-01-13,4.75,4.77,4.47,4.56,1674400,4.56
2014-01-10,4.29,4.74,4.20,4.74,2660400,4.74
2014-01-09,4.28,4.34,4.19,4.26,755100,4.26
2014-01-08,4.12,4.28,4.08,4.28,846400,4.28
2014-01-07,4.30,4.30,4.03,4.14,1168300,4.14
2014-01-06,4.37,4.39,4.17,4.27,1046200,4.27
2014-01-03,4.18,4.43,4.06,4.37,1320800,4.37
2014-01-02,4.34,4.38,4.12,4.20,1009400,4.20
2013-12-31,4.39,4.45,4.29,4.34,835400,4.34
2013-12-30,4.36,4.47,4.25,4.38,830600,4.38
2013-12-27,4.31,4.35,4.14,4.32,1270100,4.32
2013-12-26,4.31,4.39,4.26,4.27,677900,4.27
2013-12-24,4.29,4.35,4.19,4.29,427500,4.29
2013-12-23,4.05,4.29,4.00,4.27,1592900,4.27
2013-12-20,4.03,4.09,3.96,4.00,6942800,4.00
2013-12-19,3.91,4.08,3.91,3.99,933500,3.99
2013-12-18,3.81,4.01,3.74,3.93,1034900,3.93
2013-12-17,3.88,3.88,3.72,3.82,957700,3.82
2013-12-16,4.11,4.11,3.83,3.87,982400,3.87
2013-12-13,3.87,4.00,3.73,3.95,739100,3.95
2013-12-12,3.71,3.96,3.65,3.87,868300,3.87
2013-12-11,3.96,3.96,3.67,3.73,1366400,3.73
2013-12-10,4.08,4.13,3.89,3.99,857400,3.99
2013-12-09,4.25,4.25,3.93,4.08,2075400,4.08
2013-12-06,4.05,4.06,3.78,3.95,877700,3.95
2013-12-05,3.87,3.94,3.80,3.87,541100,3.87
2013-12-04,3.99,4.03,3.78,3.86,746000,3.86
2013-12-03,3.98,4.04,3.78,3.99,1055400,3.99
2013-12-02,4.19,4.22,3.91,3.97,966100,3.97
2013-11-29,4.18,4.33,4.13,4.18,495600,4.18
2013-11-27,4.05,4.19,3.96,4.15,1034300,4.15
2013-11-26,3.95,4.10,3.83,4.01,1488100,4.01
2013-11-25,3.70,3.99,3.62,3.94,1849000,3.94
2013-11-22,3.73,3.78,3.61,3.66,709400,3.66
2013-11-21,3.52,3.67,3.45,3.67,734100,3.67
2013-11-20,3.55,3.65,3.43,3.52,737200,3.52
2013-11-19,3.61,3.68,3.50,3.51,588400,3.51
2013-11-18,3.89,3.91,3.56,3.59,1225100,3.59
2013-11-15,3.59,3.88,3.55,3.83,1677800,3.83
2013-11-14,3.36,3.60,3.36,3.50,910800,3.50
2013-11-13,3.21,3.40,3.20,3.35,790200,3.35
2013-11-12,3.28,3.30,3.20,3.24,529500,3.24
2013-11-11,3.13,3.40,3.11,3.28,947100,3.28
2013-11-08,3.09,3.30,3.05,3.10,1045900,3.10
2013-11-07,3.37,3.48,3.05,3.09,1334700,3.09
2013-11-06,3.59,3.63,3.32,3.35,1149900,3.35
2013-11-05,3.53,3.60,3.46,3.59,757700,3.59
2013-11-04,3.51,3.63,3.51,3.53,864900,3.53
2013-11-01,3.56,3.59,3.50,3.50,1208900,3.50
2013-10-31,3.60,3.75,3.34,3.53,2591900,3.53
2013-10-30,3.59,3.74,3.52,3.66,1020600,3.66
2013-10-29,3.63,3.68,3.50,3.58,2072300,3.58
2013-10-28,3.62,3.77,3.58,3.60,1072600,3.60
2013-10-25,3.66,3.70,3.61,3.62,1635900,3.62
2013-10-24,3.64,3.92,3.57,3.62,10353100,3.62
2013-10-23,4.65,4.78,3.97,4.03,3817900,4.03
2013-10-22,4.77,5.00,4.75,4.93,1085800,4.93
2013-10-21,4.83,5.13,4.66,4.74,1223800,4.74
2013-10-18,5.24,5.24,4.86,4.94,1839000,4.94
2013-10-17,4.50,5.24,4.43,5.18,2371800,5.18
2013-10-16,4.12,4.55,4.10,4.45,947600,4.45
2013-10-15,4.37,4.37,4.05,4.09,876500,4.09
2013-10-14,4.44,4.46,4.26,4.35,432600,4.35
2013-10-11,4.31,4.51,4.27,4.50,536300,4.50
2013-10-10,4.37,4.54,4.25,4.33,682800,4.33
2013-10-09,4.46,4.50,3.85,4.29,2034400,4.29
2013-10-08,4.60,4.60,4.30,4.40,1208500,4.40
2013-10-07,4.65,4.78,4.52,4.60,1291700,4.60
2013-10-04,4.19,4.76,4.18,4.68,2136500,4.68
2013-10-03,4.24,4.33,4.06,4.18,1230600,4.18
2013-10-02,4.14,4.29,4.10,4.23,778800,4.23
2013-10-01,3.92,4.32,3.77,4.20,1919300,4.20
2013-09-30,3.63,4.19,3.62,3.94,3350000,3.94
2013-09-27,3.20,4.04,3.20,3.62,4281600,3.62
2013-09-26,3.20,3.25,3.12,3.18,356000,3.18
2013-09-25,3.27,3.34,3.19,3.19,391900,3.19
2013-09-24,3.23,3.32,3.16,3.26,518900,3.26
2013-09-23,3.29,3.29,3.15,3.22,428800,3.22
2013-09-20,3.31,3.34,3.20,3.28,610300,3.28
2013-09-19,3.25,3.32,3.22,3.29,296600,3.29
2013-09-18,3.24,3.33,3.18,3.28,551500,3.28
2013-09-17,3.15,3.27,3.11,3.23,460400,3.23
2013-09-16,3.20,3.28,3.11,3.14,342400,3.14
2013-09-13,3.21,3.23,3.07,3.18,306600,3.18
2013-09-12,3.24,3.29,3.13,3.21,874100,3.21
2013-09-11,3.23,3.27,3.21,3.27,308000,3.27
2013-09-10,3.31,3.44,3.18,3.24,692900,3.24
2013-09-09,3.14,3.36,3.13,3.31,1078100,3.31
2013-09-06,3.16,3.19,3.06,3.13,641400,3.13
2013-09-05,3.03,3.17,2.99,3.14,756300,3.14
2013-09-04,3.01,3.06,2.94,3.00,459400,3.00
2013-09-03,3.06,3.10,2.98,3.01,448900,3.01
