"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AVHI","A V Homes, Inc.","16.68","213293448.36","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"AAON","AAON, Inc.","25.64","941891322.84","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","24.6","977441517","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"ABAX","ABAXIS, Inc.","50.56","1126628480","n/a","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"AXDX","Accelerate Diagnostics, Inc.","8.3","322415234.7","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"ACW","Accuride Corporation New","5.49","260640879.3","n/a","2005","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"ACU","Acme United Corporation.","13.1","41202146.2","n/a","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"AEIS","Advanced Energy Industries, Inc.","22.07","866407463.36","n/a","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"AEHR","Aehr Test Systems","1.97","20726344.39","n/a","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr",
"AEPI","AEP Industries Inc.","76.76","429646138.16","n/a","1986","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/aepi",
"AVAV","AeroVironment, Inc.","20.58","465402602.7","n/a","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav",
"ATRM","Aetrium Incorporated","0.49","5282910.99","n/a","1993","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/atrm",
"AFFX","Affymetrix, Inc.","5.17","367578500.52","n/a","1996","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/affx",
"AGCO","AGCO Corporation","54.33","5287048702.95","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","45.75","15759778326.75","n/a","1999","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/a",
"AIRI","Air Industries Group, Inc.","6.2","35408776.6","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi",
"ARG","Airgas, Inc.","100.29","7355043047.79","n/a","1971","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/arg",
"ALG","Alamo Group, Inc.","43.6","526416764.4","n/a","1993","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/alg",
"AA","Alcoa Inc.","8.1","8662115902.5","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa",
"AA^","Alcoa Inc.","90","0","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^",
"ATK","Alliant Techsystems Inc.","88.37","2845643727.16","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/atk",
"AMOT","Allied Motion Technologies, Inc.","7.04","62298670.72","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot",
"ALSN","Allison Transmission Holdings, Inc.","24.5","4550077353.5","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alsn",
