"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AGRO","Adecoagro S.A.","6.69","818682060","n/a","1994","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"GRO","Agria Corporation","1.13","62583129","n/a","2007","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/gro",
"ALCO","Alico, Inc.","43.8","319723312.2","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/alco",
"MO","Altria Group","36.92","74159801704.56","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/mo",
"DIT","AMCON Distributing Company","77.57","48335030.55","n/a","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit",
"ALN","American Lorain Corporation","0.9","31155042.6","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"ANFI","Amira Nature Foods Ltd","8.66","248290860","n/a","1999","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/anfi",
"BUD","Anheuser-Busch Inbev SA","91.66","147205960000","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/bud",
"AXE","Anixter International Inc.","79.53","2585324815.26","n/a","n/a","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/axe",
"BNNY","Annie&#39;s, Inc.","44.81","756392979.24","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bnny",
"ATR","AptarGroup, Inc.","59.65","3978437635.4","n/a","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/atr",
"ADM","Archer-Daniels-Midland Company","36.31","23929370621.91","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/adm",
"AWI","Armstrong World Industries Inc","50.73","3000489161.04","n/a","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/awi",
"ARW","Arrow Electronics, Inc.","42.03","4399294095.99","n/a","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/arw",
"AVT","Avnet, Inc.","35.73","4896837446.58","n/a","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/avt",
"AVP","Avon Products, Inc.","22.54","9762186429.52","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/avp",
"BGS","B&G Foods, Inc.","35.13","1856928660.36","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bgs",
"BEAM","Beam Inc.","65.27","10501235864.82","n/a","1987","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/beam",
"BEBE","bebe stores, inc.","5.77","455457523.42","n/a","1998","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/bebe",
"BDE","Black Diamond, Inc.","9.82","312204775.54","n/a","1996","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/bde",
"SAM","Boston Beer Company, Inc. (The)","180.2","2319168774.2","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/sam",
"BDBD","Boulder Brands, Inc.","13.97","831274554.11","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bdbd",
"BERY","BPC Acquisition Corp","22.21","2527275900","n/a","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/bery",
"LND","Brasilagro Cia Brasileira De Propriedades Agricolas","4.68","273416832","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/lnd",
