"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"FCTY","1st Century Bancshares, Inc","6.15","57019866.45","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","9.53","57095964.46","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","25.83","629385739.29","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"FUBC","1st United Bancorp, Inc. (FL)","7.41","254067084.96","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fubc",
"ABM","ABM Industries Incorporated","25.45","1393070571.15","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"ANCX","Access National Corporation","13.79","142046970.17","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ACE","Ace Limited","93.5","31806186533","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ace",
"ACNB","ACNB Corporation","17.15","102387729.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"PVD","Administradora de Fondos de Pensiones-Provida, S.A.","85.6","1890713454.4","n/a","1994","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pvd",
"AEB","Aegon NV","22.35","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","24.73","0","n/a","1995","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEF","Aegon NV","25.21","0","n/a","1990","Finance","Life Insurance","http://www.nasdaq.com/symbol/aef",
"AEG","Aegon NV","7.31","13959571112.81","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","24.77","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","27.86","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AEV","Aegon NV","24.9","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aev",
"AMG","Affiliated Managers Group, Inc.","172.46","9095150123.02","n/a","1997","Finance","Investment Managers","http://www.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","25.12","0","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/mgr",
"AFL","Aflac Incorporated","59.14","27572604634.62","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afl",
"AFSD","Aflac Incorporated","24.15","0","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afsd",
"ALEX","Alexander & Baldwin Holdings, Inc.","42.36","1823543482.68","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/alex",
"Y","Alleghany Corporation","401.97","6747566500.68","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/y",
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","14.38","74115008.92","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/allb",
"AB","Alliance Capital Management Holding L.P.","20.2","2132430574","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ab",
"NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","16.64","1572884768","n/a","2005","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/nfj",
"AWH","Allied World Assurance Company Holdings, AG","95.1","3288513112.8","n/a","2006","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/awh",
"ALL","Allstate Corporation (The)","51.11","23952386611.29","n/a","1989","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/all",
"RESI","Altisource Residential Corporation","17.46","437559961.68","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/resi",
"AMBC","Ambac Financial Group, Inc.","23.89","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","12.5","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambcw",
"ASBI","Ameriana Bancorp","10.45","31234548.4","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbi",
"ATAX","America First Tax Exempt Investors, L.P.","6.73","287861805.44","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax",
"APP","American Apparel Inc","1.95","215013050.85","n/a","1994","Finance","Business Services","http://www.nasdaq.com/symbol/app",
"AEL","American Equity Investment Life Holding Company","17.05","1091526678","n/a","2003","Finance","Life Insurance","http://www.nasdaq.com/symbol/ael",
"AXP","American Express Company","78.33","86056362947.94","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/axp",
"AFA","American Financial Group, Inc.","24.18","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afa",
"AFG","American Financial Group, Inc.","51.58","4637713107.38","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afg",
"AFQ","American Financial Group, Inc.","25.95","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afq",
"AFW","American Financial Group, Inc.","25.12","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afw",
"AMIC","American Independence Corp.","7.5","60544110","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/amic",
"AIG","American International Group, Inc.","46.74","69004373012.1","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/aig",
"AMNB","American National Bankshares, Inc.","23.84","187446791.84","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","105.45","2835910295.4","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat",
"ARL","American Realty Investors, Inc.","4.4","50711711.6","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/arl",
"AMRB","American River Bankshares","8.57","76299686.98","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amrb",
"ASI","American Safety Insurance Holdings, Ltd.","29.09","279229324.72","n/a","1998","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/asi",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","86.6","17452434695.4","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amp",
"ABCB","Ameris Bancorp","17.99","429541473.2","n/a","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","37.35","686842857.45","n/a","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","3.03","58079609.64","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","26.04","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","23.04","214523435.52","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
"AXR","AMREP Corporation","9.9","71234994.6","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/axr",
"AFSI","AmTrust Financial Services, Inc.","39.25","2645681967.5","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afsi",
"ANCB","Anchor Bancorp","18","45900000","n/a","2011","Finance","Banks","http://www.nasdaq.com/symbol/ancb",
"ANDA","Andina Acquisition Corporation","9.93","52132500","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/anda",
"ANDAU","Andina Acquisition Corporation","10.08","16632010.08","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corporation","0.24","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/andaw",
"AON","Aon plc","67.02","20717647641.9","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/aon",
"APO","Apollo Global Management, LLC","24.99","3306060371.67","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/apo",
"AQU","Aquasition Corp.","9.9","72324450","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aqu",
"AQUUU","Aquasition Corp.","10.161","66938127.75","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aquuu",
"AQUUW","Aquasition Corp.","0.24","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aquuw",
"ACGL","Arch Capital Group Ltd.","53.86","7167612103.36","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acgl",
"AGII","Argo Group International Holdings, Ltd.","45.11","1226154848.62","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agii",
"AGIIL","Argo Group International Holdings, Ltd.","23.8694","0","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agiil",
