"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACTG","Acacia Research Corporation","24.86","1222981286.12","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACN","Accenture plc.","75.52","51031692224","n/a","1986","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"AKAM","Akamai Technologies, Inc.","44.92","7982304528.44","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"ADS","Alliance Data Systems Corporation","190.51","9370500682.98","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ads",
"ATHN","athenahealth, Inc.","109.75","4032360418.75","n/a","1991","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/athn",
"AVID","Avid Technology, Inc.","6.21","241725783.87","n/a","1993","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/avid",
"BTN","Ballantyne Strong, Inc","4.37","61620482.89","n/a","1995","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"RATE","Bankrate, Inc.","15.35","1535728219.35","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rate",
"BFAM","Bright Horizons Family Solutions Inc.","34.87","2255896552.47","n/a","n/a","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/bfam",
"BR","Broadridge Financial Solutions, Inc.","28.15","3412473503.4","n/a","1988","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/br",
"BSQR","BSQUARE Corporation","2.86","31875941.24","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/bsqr",
"BUR","Burcon Nutrascience Corp","2.75","86967905.75","n/a","1992","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/bur",
"CAJ","Canon, Inc.","34.03","39229452683.92","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/caj",
"CATM","Cardtronics, Inc.","29.36","1317034109.6","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/catm",
"CASS","Cass Information Systems, Inc","52.91","607811561.5","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cass",
"CBZ","CBIZ, Inc.","7.1","358687321.1","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cbz",
"CVO","Cenveo Inc","2.15","137353018.75","n/a","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/cvo",
"JRJC","China Finance Online Co. Limited","1.25","25651688.75","20521351","2004","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/jrjc",
"CREG","China Recycling Energy Corporation","1.83","91910560.5","n/a","1996","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/creg",
"CNTF","China TechFaith Wireless Communication Technology Limited","1.03","33886312.99","32899333","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cntf",
