"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"EGHT","8x8 Inc","8.75","636518400","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"ACMP","Access Midstream Partmers, L.P.","48.16","9632989110.08","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/acmp",
"ACPW","Active Power, Inc.","4.16","80124112.64","n/a","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw",
"ADTN","ADTRAN, Inc.","24.82","1471170677.54","n/a","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn",
"GAS","AGL Resources, Inc.","44.72","5285040367.36","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/gas",
"ALP^N","Alabama Power Company","25.12","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/alp^n",
"ALP^O","Alabama Power Company","25.5","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/alp^o",
"ALSK","Alaska Communications Systems Group, Inc.","1.8","83784677.4","n/a","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk",
"ALU","Alcatel Lucent","1.94","4519096592.02","n/a","1989","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alu",
"ALE","Allete, Inc.","52.09","2083021175.92","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ale",
"LNT","Alliant Energy Corporation","52.29","5800112164.35","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/lnt",
"ALTV","Alteva (D/B/A)","9.4","57851924","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/altv",
"ALVR","Alvarion Ltd.","0.45","4023952.2","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alvr",
"AMBT","Ambient Corporation","3.63","60492327.39","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ambt",
"AEE","Ameren Corporation","35.49","8611104473.79","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/aee",
"AMOV","America Movil, S.A.B. de C.V.","21.24","241315711.2","11361380","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","21.35","82186825000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amx",
"AEP","American Electric Power Company, Inc.","46.55","22625399311.9","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aep",
"AMID","American Midstream Partners, LP","20.25","186345319.5","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/amid",
"AWR","American States Water Company","58.28","1123918377.12","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awr",
"AWK","American Water Works","41.96","7456316588.56","n/a","2008","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awk",
"WTR","Aqua America, Inc.","32.71","4603683347.93","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/wtr",
"ARTNA","Artesian Resources Corporation","23.73","207457745.25","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/artna",
"T","AT&T Inc.","35.81","192657800000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/t",
"ATNI","Atlantic Tele-Network, Inc.","53.49","839156362.02","n/a","1991","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/atni",
"ATLS","Atlas Energy, L.P.","48.73","2503430460.08","n/a","1995","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/atls",
"APL","Atlas Pipeline Partners, L.P.","39.75","3057498688.5","n/a","2000","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/apl",
"ATO","Atmos Energy Corporation","42.4","3839279211.2","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/ato",
"AUDC","AudioCodes Ltd.","4.8","182283854.4","n/a","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/audc",
"AWX","Avalon Holdings Corporation","3.5001","13312038.8331","n/a","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"AVA","Avista Corporation","28.16","1687352719.36","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ava",
"BCE","BCE, Inc.","42.17","32719389086.52","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/bce",
"BKH","Black Hills Corporation","52.66","2340362376.76","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/bkh",
"BWP","Boardwalk Pipeline Partners L.P.","31.84","7341469823.84","n/a","1994","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/bwp",
