"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AIRM","Air Methods Corporation","36.92","1435482311.12","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/airm",
"AIRT","Air T, Inc.","10.35","25319060.1","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","6.65","429491633.2","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg",
"ALK","Alaska Air Group, Inc.","61.07","4294035490.59","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/alk",
"ALGT","Allegiant Travel Company","99.12","1891665056.4","n/a","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt",
"ABFS","Arkansas Best Corporation","22.87","587986007.62","n/a","1992","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/abfs",
"AAWW","Atlas Air Worldwide Holdings","43.71","1128990835.2","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/aaww",
"BALT","Baltic Trading Limited","3.72","88461213.12","n/a","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/balt",
"TEU","Box Ships Inc.","3.63","90607395.45","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/teu",
"BCO","Brink&#39;s Company (The)","26.88","1289064322.56","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/bco",
"BRS","Bristow Group Inc","68.12","2473337336.08","n/a","1997","Transportation","Transportation Services","http://www.nasdaq.com/symbol/brs",
"CHRW","C.H. Robinson Worldwide, Inc.","57.83","9285149986.34","n/a","1997","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/chrw",
"CNI","Canadian National Railway Company","100.95","42564465529.8","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cni",
"CP","Canadian Pacific Railway Limited","126.71","22185026051.95","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cp",
"CPLP","Capital Product Partners L.P.","9.67","909247191.77","n/a","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cplp",
"CGI","Celadon Group, Inc.","20.32","471093515.52","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cgi",
"CEA","China Eastern Airlines Corporation Ltd.","15.9","4030417494.3","n/a","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cea",
"ZNH","China Southern Airlines Company Limited","19.55","3838668697","n/a","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/znh",
"CNW","Con-way Inc.","42.1","2371903853.9","n/a","1992","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cnw",
"CPA","Copa Holdings, S.A.","134.67","5973455110.14","n/a","1991","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cpa",
"CMRE","Costamare Inc.","18.28","1367344000","n/a","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cmre",
"CVTI","Covenant Transportation Group, Inc.","6.99","103769576.67","n/a","1994","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cvti",
"CSX","CSX Corporation","24.36","24894960946.8","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/csx",
"DAC","Danaos Corporation","4.38","480281729.94","n/a","2006","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dac",
"DAL","Delta Air Lines, Inc.","19.29","16522756406.46","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/dal",
"DHT","DHT Holdings, Inc.","4.37","67693952.59","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dht",
"DCIX","Diana Containerships Inc.","4.49","144541918.36","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dcix",
"DSX","Diana Shipping inc.","10.01","829242113.7","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsx",
"DRYS","DryShips Inc.","1.91","811295886.04","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/drys",
"EGLE","Eagle Bulk Shipping Inc.","3.41","56735893.72","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/egle",
"ECHO","Echo Global Logistics, Inc.","20.32","473700469.92","n/a","2009","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/echo",
"ERA","Era Group, Inc.","26.13","525865596.75","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/era",
"ESEA","Euroseas Ltd.","1.03","46679193.15","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/esea",
"EXPD","Expeditors International of Washington, Inc.","40","8264384240","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/expd",
"FDX","FedEx Corporation","102.29","32412521213.06","n/a","1978","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/fdx",
"FWRD","Forward Air Corporation","39.85","1202704481.5","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/fwrd",
"FREE","FreeSeas Inc.","0.385","1244350.8","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/free",
"FRO","Frontline Ltd.","1.97","153381248.94","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/fro",
"FFEX","Frozen Food Express Industries, Inc.","1.7","30753571.2","n/a","1971","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/ffex",
"GNK","Genco Shipping & Trading Limited","1.73","76575894.79","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gnk",
"GWR","Genesee & Wyoming, Inc.","91.48","4871015434.4","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gwr",
